movieCd,movieNm,movieNmEn,movieNmOg,showTm,prdtYear,openDt,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
20153444,럭키,LUCK-KEY,,112,2015,20161013,개봉,장편,,,,코미디,한국,이계벽,유해진|이준|조윤희|임지연|전혜빈,(주)용필름,(주)쇼박스
20159286,연애담,Our Love Story,,98,2016,20161117,개봉,장편,,,,멜로/로맨스,한국,이현주,이상희|류아벨|김종수|박근록|임성미,한국영화아카데미,(주)인디플러그
20162542,다이노소어 어드벤처 : 백악기 공룡대백과,Walking with Dinosaurs : Prehistoric Planet,,83,2015,20160504,개봉,장편,,,,애니메이션|액션|가족,영국,앤드류 코헨|닐 나이팅게일|베리 쿡,,,(주)박수엔터테인먼트|(주)애니플러스
20168885,브리짓 존스의 베이비,Bridget Jones's Baby,,122,2016,20160928,개봉,장편,,,,코미디|멜로/로맨스,미국,샤론 맥과이어,르네 젤위거|콜린 퍼스|패트릭 뎀시,,유니버설픽쳐스인터내셔널 코리아(유)
20143510,함정,Deep Trap,,96,2015,20150910,개봉,장편,,,,스릴러|범죄,한국,권형진,마동석|조한선|김민경|지안|윤주,(주)에이치에스이디,(주)인벤트스톤
20150562,팬,PAN,,111,2015,20151008,개봉,장편,,,,판타지|어드벤처,미국,조 라이트,휴 잭맨|가렛 헤드룬드|루니 마라|리바이 밀러|아만다 사이프리드,,워너브러더스 코리아(주)
20156559,계춘할망,Canola,,116,2016,20160519,개봉,장편,,,,가족|드라마,한국,창,윤여정|김고은|김희원|신은정|최민호,지오엔터테인먼트|(주)퍼플캣츠필름|(주)빅스토리픽쳐스,(주)콘텐츠지오
20159648,"고산자, 대동여지도",The Map Against the World,,129,2016,20160907,개봉,장편,,,,사극,한국,강우석,차승원|유준상|김인권|남지현|한희경,(주)시네마서비스,(주)씨제이이엔엠
20163856,호비와 동화나라 대모험,Shimajiro’s Wow! Shimajiro And The Magical Picture Book,劇場版 しまじろうのわお! しまじろうと えほんのくに,60,2016,20161208,개봉,장편,,,,애니메이션,일본,히라바야시 이사무,,,(주)머스트씨무비릴리징컴퍼니
20150862,더 랍스터,The Lobster,,118,2015,20151029,개봉,장편,,,,판타지|멜로/로맨스,영국|그리스|아일랜드|네덜란드|프랑스,요르고스 란티모스,콜린 파렐|레이첼 와이즈|레아 세이두|벤 위쇼|존 C. 라일리,,(주)팝엔터테인먼트|(주)영화사오원|(주)브리즈픽처스
20151782,지금은맞고그때는틀리다,"Right Now, Wrong Then",,120,2015,20150924,개봉,장편,,,,드라마,한국,홍상수,정재영|김민희|윤여정|기주봉|최화정,(주)영화제작전원사 ,(주)콘텐츠판다|(주)영화제작전원사 |(주)넥스트엔터테인먼트월드(NEW)
20162002,명탐정 코난: 순흑의 악몽,Detective Conan : The Darkest Nightmare,,111,2016,20160803,개봉,장편,,,,애니메이션|미스터리|어드벤처,일본,시즈노 코분,,,(주)씨제이이엔엠
20140190,사랑이 이긴다,Love Never Fails,,100,2014,20150910,개봉,장편,,,,가족|드라마,한국,민병훈,최정원|장현성|오윤영|황정민|정다빈,민병훈필름,(주)리틀빅픽쳐스
20158982,트릭,Trick,,94,2016,20160713,개봉,장편,,,,스릴러|드라마,한국,이창열,이정진|강예원|김태훈|선동혁|이희진,엘씨오픽쳐스,(주)스톰픽쳐스코리아|(주)이수C&E
20149314,내부자들,Inside Men,,130,2015,20151119,개봉,장편,,,,범죄|드라마,한국,우민호,이병헌|조승우|백윤식|이경영|김홍파,(유)내부자들 문화전문회사,(주)쇼박스
20144461,인서전트,Insurgent,,119,2015,20150325,개봉,장편,,,,SF|액션,미국,로베르트 슈벤트케,쉐일린 우들리|테오 제임스|케이트 윈슬렛|나오미 왓츠|매기 큐,,롯데쇼핑㈜롯데엔터테인먼트
20143754,아메리칸 스나이퍼,American Sniper,,132,2014,20150114,개봉,장편,,,,액션,미국,클린트 이스트우드,브래들리 쿠퍼|시에나 밀러,,워너브러더스 코리아(주)
20159223,데모닉,Demonic,,83,2014,20150625,개봉,장편,,,,공포(호러)|스릴러,미국|영국,윌 캐논,마리아 벨로|프랭크 그릴로|코디 혼,,(주)와우픽쳐스
20155690,프리덤,Freedom,,94,2014,20151119,개봉,장편,,,,드라마|가족,미국,피터 쿠센스,쿠바 구딩 주니어|베르나르드 포처|윌리엄 새들러,,주식회사 마운틴픽쳐스
20163181,닥터 스트레인지,Doctor Strange,,114,2015,20161026,개봉,장편,,,,액션|어드벤처|판타지,미국,스콧 데릭슨,베네딕트 컴버배치|레이첼 맥아담스|틸다 스윈튼|매즈 미켈슨|치웨텔 에지오포,,월트디즈니컴퍼니코리아(주)
20148851,암살,Assassination,,139,2015,20150722,개봉,장편,,,,액션|드라마,한국,최동훈,전지현|이정재|하정우|오달수|조진웅,(주)케이퍼필름,(주)쇼박스
20158682,꾸루꾸루와 친구들: 무지개 나무의 비밀,,,74,2015,20151119,개봉,장편,,,,애니메이션,한국,문제대,서유리,(주)팡고엔터토이먼트,(주)팝엔터테인먼트
20157782,신은 죽지 않았다,GOD'S NOT DEAD,,112,2014,20150416,개봉,장편,,,,드라마,미국,해롤드 크론크,쉐인 하퍼|케빈 소르보|트리샤 라파체|코리 올리버|하딜 싯투,,주식회사 마운틴픽쳐스|(주)에스와이코마드
20157881,미션 임파서블: 로그네이션,Mission: Impossible - Rogue Nation,,131,2015,20150730,개봉,장편,,,,액션|스릴러|어드벤처,미국,크리스토퍼 맥쿼리,톰 크루즈|제레미 레너|사이먼 페그|알렉 볼드윈|레베카 퍼거슨,,롯데쇼핑㈜롯데엔터테인먼트
20145042,스틸 앨리스,Still Alice,,101,2014,20150429,개봉,장편,,,,드라마,미국,리처드 글랫저|워시 웨스트모어랜드,줄리안 무어|알렉 볼드윈|크리스틴 스튜어트|케이트 보스워스,,그린나래미디어(주)
20143541,박물관이 살아있다 : 비밀의 무덤,Night at the Museum: Secret of the Tomb,,97,2014,20150114,개봉,장편,,,,어드벤처|코미디|가족,미국|영국,숀 레비,벤 스틸러|로빈 윌리엄스|댄 스티븐스|오웬 윌슨|벤 킹슬리,,이십세기폭스코리아(주)
