movieCd,movieNm_box,rank,rankInten,rankOldAndNew,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,showRange,movieNm_detail,movieNmEn,movieNmOg,showTm,prdtYear,openDt,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
20202203,에이바,10,0,NEW,1500000,1.1,1500000,100.0,185099250,300,300,100.0,24117,2,2,2021-01-05,,에이바,Ava,,97,2020,20200909,개봉,장편,,,,액션|범죄|드라마,미국,테이트 테일러,제시카 차스테인|콜린 파렐|존 말코비치,,(주)제이앤씨미디어그룹
20192567,원더 우먼 1984,1,0,OLD,42566430,29.9,-3496860,-7.6,4282612880,4707,-453,-8.8,476782,1111,1788,2021-01-06,,원더 우먼 1984,Wonder Woman 1984,,150,2020,20201223,개봉,장편,,,,액션|어드벤처,미국,팻티 젠킨스,갤 가돗|크리스 파인|크리스틴 위그|페드로 파스칼|코니 닐슨,,워너브러더스 코리아(주)
20201002,조제,2,1,OLD,21919870,15.4,12503990,132.8,1791417530,2476,1386,127.2,199994,276,390,2021-01-06,,조제,Josée,,116,2020,20201210,개봉,장편,,,,멜로/로맨스|드라마,한국,김종관,한지민|남주혁|허진|박예진|조복래,볼미디어(주) ,워너브러더스 코리아(주)
20040725,화양연화,3,-1,OLD,16202200,11.4,1342880,9.0,552110790,1813,121,7.2,64962,369,575,2021-01-06,,화양연화,In The Mood For Love,花樣年華,98,2000,20001020,개봉,장편,,,,드라마|멜로/로맨스,홍콩|프랑스,왕가위,장만옥|양조위,,(주)디스테이션
20202931,완벽한 가족,4,0,NEW,10666820,7.5,10666820,100.0,11369320,1286,1286,100.0,1354,318,447,2021-01-06,,완벽한 가족,Blackbird,,98,2019,20210106,개봉,장편,,,,드라마,미국,로저 미첼,수잔 서랜든|케이트 윈슬렛|미아 와시코브스카|샘 닐,,(주)제이앤씨미디어그룹
20192193,도굴,5,1,OLD,7016230,4.9,353970,5.3,13849950630,782,15,2.0,1533209,221,278,2021-01-06,,도굴,Collectors,,114,2020,20201104,개봉,장편,,,,범죄,한국,박정배,이제훈|조우진|신혜선|임원희,(주)싸이런픽쳐스,(주)씨제이이엔엠
20202703,뱅가드,6,-1,OLD,6315500,4.4,-1144100,-15.3,206450500,759,-118,-13.5,24953,164,304,2021-01-06,,뱅가드,Vanguard,急先锋,107,2020,20201230,개봉,장편,,,,액션,중국,당계례,성룡|양양,,(주)디스테이션
20202130,빅풋 주니어2: 패밀리가 떴다,7,65,OLD,4435520,3.1,4401520,12945.6,33865360,542,538,13450.0,4166,167,179,2021-01-06,,빅풋 주니어2: 패밀리가 떴다,Bigfoot Family,,85,2020,20210106,개봉,장편,,,,애니메이션,기타,벤 스타센|제레미 드그루손,,,(주)이수C&E
20196672,럭키 몬스터,8,6,OLD,2532300,1.8,1201300,90.3,38212580,420,198,89.2,5023,11,11,2021-01-06,,럭키 몬스터,Lucky Monster,,92,2019,20201203,개봉,장편,,,,드라마,한국,봉준영,김도윤|장진희|박성준|우강민|박성일,한국영화아카데미,(주)영화사 그램
20202647,나이팅게일,9,-2,OLD,3167670,2.2,-1722800,-35.2,99320420,365,-222,-37.8,12181,141,170,2021-01-06,,나이팅게일,The Nightingale,,136,2018,20201230,개봉,장편,,,,스릴러,호주,제니퍼 켄트,샘 클라플린,,(주)제이앤씨미디어그룹
20167904,라라랜드,10,-2,OLD,2190500,1.5,-352500,-13.9,30901521308,312,-53,-14.5,3746090,33,54,2021-01-06,,라라랜드,LA LA LAND,,127,2016,20161207,개봉,장편,,,,드라마|뮤지컬|멜로/로맨스,미국,데이미언 셔젤,엠마 스톤|라이언 고슬링|핀 위트록|J.K. 시몬스|로즈마리 드윗,,판씨네마(주)
