movieInfo,movieCd,movieNm,movieNmEn,movieNmOg,showTm,prdtYear,openDt,prdtStatNm,typeNm,nations,nation,nationNm,genres,genre,genreNm,directors,director,peopleNm,peopleNmEn,actors,actor,cast,castEn,showTypes,showType,showTypeGroupNm,showTypeNm,companys,company,companyCd,companyNm,companyNmEn,companyPartNm,audits,audit,auditNo,watchGradeNm,staffs,staff,staffRoleNm,error
,20070063,해리 포터와 불사조 기사단,Harry Potter And The Order Of The Phoenix,,137,2007,20070711,개봉,장편,,,미국,,,어드벤처,,,루퍼트 그린트,Rupert Grint,,,,,,,4D,4D,,,20100043,워너브러더스 코리아(주),Warner Bros. Korea,수입사,,,2007-F221,전체관람가,,,,
,20070602,마녀배달부 키키,Kiki's Delivery Service,魔女の宅急便,102,1989,20071122,개봉,장편,,,일본,,,판타지,,,사쿠마 레이,Sakuma Rei ,,,,,,,2D,디지털 더빙,,,20111081,(주)스마일이엔티,Smile Ent.,제공,,,2007-F351,전체관람가,,,,
,20080269,해피 투게더,Happy Together,春光乍洩,96,1997,19980822,개봉,장편,,,홍콩,,,멜로/로맨스,,,장첸,Chen Chang,,,,,,,2D,디지털 4K,,,20100320,(주)서우영화사 ,,수입사,,,2020-MF03073,15세이상관람가,,,,
,20080850,공포분자,The Terrorizers,恐怖份子,108,1986,20200917,개봉,장편,,,기타,,,드라마,,,왕 안,Wang An,,,,,,,2D,디지털,,,20160201,(주)에이썸엔터테인먼트,,수입사,,,2020-MF01759,15세이상관람가,,,,
,20078386,블라인드,Blind,,102,2007,20210114,개봉,장편,,,네덜란드,,,멜로/로맨스,,,얀 데클레흐,Jan Decleir,,,,,,,2D,디지털,,,20141088,와이드 릴리즈(주),Wide Release,수입사,,,2020-MF02907,15세이상관람가,,,,
,20080071,노인을 위한 나라는 없다,No Country For Old Men,,122,2007,20080221,개봉,장편,,,미국,,,범죄,,,조슈 브롤린,Josh Brolin,,, 를르윈 모스 ,,,,2D,디지털,,,20100109,씨제이엔터테인먼트,CJ Entertainment,수입사,,,2018-MF00620,청소년관람불가,,,,
,20081375,샤이닝,The Shining,,144,1980,20230628,개봉,장편,,,미국,,,스릴러,,,대니 로이드,Danny Lloyd,,,,,,,2D,디지털,,,20100043,워너브러더스 코리아(주),Warner Bros. Korea,수입사,,,2018-MF02401 ,청소년관람불가,,,,
,20080349,버킷 리스트:죽기전에 꼭 하고싶은것들,The Bucket List,,96,2007,20080409,개봉,장편,,,미국,,,어드벤처,,,모건 프리먼,Morgan Freeman,,,카터 챔버스 ,,,,2D,디지털,,,20100043,워너브러더스 코리아(주),Warner Bros. Korea,수입사,,,2008-F127,12세이상관람가,,,,
,20081056,다크 나이트,The Dark Knight,,152,2008,20080806,개봉,장편,,,미국,,,미스터리,,,다이아나 최,Diana Choi,,,루시어스 폭스,,,,IMAX,IMAX,,,20100043,워너브러더스 코리아(주),Warner Bros. Korea,수입사,,,2017-MF01031 ,15세이상관람가,,,분장,
,20090161,슬럼독 밀리어네어,Slumdog Millionaire,,120,2008,20090319,개봉,장편,,,미국,,,범죄,,,아닐 카푸르,Anil Kapoor,,,,,,,2D,디지털,,,20100255,거원시네마(주),,수입사,,,2009-F75,15세이상관람가,,,,
,20081445,굿바이,Departures,おくりびと,130,2008,20081030,개봉,장편,,,일본,,,드라마,,,요 키미코,Kimiko Yo,,,유리코,,,,2D,디지털,,,20143338,(주)드림팩트엔터테인먼트,Dreamfact entertainment,공동제공,,,2020-MF02899,12세이상관람가,,,,
,20090834,아바타,Avatar,,161,2009,20091217,개봉,장편,,,미국,,,어드벤처,,,장정민,Chang Jung Min,,,,,,,IMAX,IMAX,,,20100041,이십세기폭스코리아(주),20th Century Fox Korea,수입사,,,2018-MF00904,12세이상관람가,,,VFX 아티스트,
,20098169,쥬라기 월드,Jurassic World,,124,2015,20150611,개봉,장편,,,미국,,,SF,,,빈센트 도노프리오,Vincent D'Onofrio,,,,,,,IMAX,IMAX 3D,,,20100603,유니버설픽쳐스인터내셔널 코리아(유),Universal Pictures International Korea,수입사,,,2015-MF00605 ,12세이상관람가,,,,
,20100312,인셉션,Inception,Inception,147,2010,20100721,개봉,장편,,,미국,,,미스터리,,,톰요크,,,,,,,,IMAX,IMAX,,,20100043,워너브러더스 코리아(주),Warner Bros. Korea,수입사,,,2010-F272,12세이상관람가,,,소품,
,20090528,페임,FAME,,122,2009,20090924,개봉,장편,,,미국,,,드라마,,,월터 페레즈,Walter Perez,,,빅터 타버라스,,,,2D,디지털,,,20100634,(주)누리픽쳐스,NOORI PICTURES,수입사,,,2020-MF00404,12세이상관람가,,,,
,20090683,500일의 썸머,500 Days of Summer,,95,2009,20100121,개봉,장편,,,미국,,,멜로/로맨스,,,클로이 모레츠,Chloe Moretz,,,레이첼 핸슨,,,,2D,디지털,,,20122837,(주)팝엔터테인먼트,Pop Entertainment,제공,,,2016-MF00801,15세이상관람가,,,,
,20112561,원 데이,One Day,,107,2011,20121213,개봉,장편,,,미국,,,멜로/로맨스,,,데이비드 니콜스,David Nicholls,,,,,,,2D,디지털,,,20100352,(주)액티버스엔터테인먼트,"Activers Entertainment Co., Ltd.",수입사,,,2012-F157 ,15세이상관람가,,,원작,
,20110027,아이 엠 러브,I Am Love,Io sono l'amore,120,2009,20110120,개봉,장편,,,이탈리아,,,멜로/로맨스,,,알바 로르와처,Alba Rohrwacher,,,엘리사베타,,,,2D,디지털,,,20114813,(주)영화사 조제,Film JoseE ,수입사,,,2011-F19 ,청소년관람불가,,,,
,20112703,다크 나이트 라이즈,The Dark Knight Rises,,164,2012,20120719,개봉,장편,,,영국,,,스릴러,,,데이빗 S. 고이어,David S. Goyer,,,존 블레이크,,,,IMAX,IMAX,,,20100043,워너브러더스 코리아(주),Warner Bros. Korea,수입사,,,2012-F448,15세이상관람가,,,스토리,
,20100211,다이노 타임,Dino Time,,85,2012,20150430,개봉,장편,,,미국,,,코미디,,,허준범,Joon B. HEO,,,,,,,3D,3D 더빙,,,20242764,한국시각장애인연합회,,가치봄 제작처,,,2015-MF00337 ,전체관람가,,,기획,
,20124134,팅커 테일러 솔저 스파이,"Tinker, Tailor, Soldier, Spy",,127,2011,20120209,개봉,장편,,,독일,,,스릴러,,,스티븐 그레이엄,Stephen Graham,,,,,,,2D,디지털,,,20100632,(주)화인픽쳐스,Fine Pictures,수입사,,,2012-F87,15세이상관람가,,,,
,20124721,어벤져스,The Avengers,,142,2012,20120426,개봉,장편,,,미국,,,SF,,,제레미 레너,Jeremy Renner,,,호크 아이,,,,IMAX,IMAX 3D,,,20100616,한국소니픽쳐스릴리징브에나비스타영화㈜,Sony Pictures Realizing Buena Vista ,수입사,,,2012-F272,12세이상관람가,,,,
,20112692,드라이브,Drive,,100,2011,20111117,개봉,장편,,,미국,,,멜로/로맨스,,,캐리 멀리건,Carey Mulligan,,,아이린,,,,2D,디지털,,,20100285,판씨네마(주),Pancinema Corp.,수입사,,,2020-MF01861,청소년관람불가,,,,
,20125048,호빗: 뜻밖의 여정,The Hobbit: An Unexpected Journey,,169,2012,20121213,개봉,장편,,,뉴질랜드,,,판타지,,,장정민,Chang Jung Min,,,,,,,IMAX,IMAX HFR 3D,,,20100043,워너브러더스 코리아(주),Warner Bros. Korea,수입사,,,2012-F941 ,12세이상관람가,,,시각효과,
