title,release_date,imdb_id,tmdb_id,overview,directors,cast_top5,genres,production_companies,production_countries
Rings,2017-02-01,tt0498381,14564,"Julia becomes worried about her boyfriend Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",F. Javier Gutiérrez,"Matilda Lutz, Alex Roe, Johnny Galecki, Vincent D'Onofrio, Aimee Teegarden",Horror,"Paramount Pictures, Macari/Edelstein, Parkes+MacDonald Image Nation, Waddieish Claretrap",US
Bad Boys for Life,2020-01-15,tt1502397,38700,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.","Adil El Arbi, Bilall Fallah","Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig, Charles Melton","Thriller, Action, Crime","Columbia Pictures, 2.0 Entertainment, Don Simpson/Jerry Bruckheimer Films, Overbrook Entertainment",US
Ghostbusters,2016-07-14,tt1289401,43074,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",Paul Feig,"Kristen Wiig, Melissa McCarthy, Kate McKinnon, Leslie Jones, Chris Hemsworth","Action, Fantasy, Comedy","Ghost Corps, Columbia Pictures, Village Roadshow Pictures, LStar Capital, Feigco Entertainment, Pascal Pictures, The Montecito Picture Company",US
xXx: Return of Xander Cage,2017-01-13,tt1293847,47971,"Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.",D.J. Caruso,"Vin Diesel, Donnie Yen, Ruby Rose, Toni Collette, Samuel L. Jackson","Action, Adventure, Crime","Rox Productions, Revolution Studios, Maple Cage Productions, Huahua Media, Roth-Kirschenbaum Films, Shanghai Film Group, One Race, Paramount Pictures","CA, CN, US"
Silence,2016-12-23,tt0490215,68730,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",Martin Scorsese,"Andrew Garfield, Adam Driver, Liam Neeson, Tadanobu Asano, Ciarán Hinds","Drama, History","Waypoint Entertainment, Cappa Defina Productions, CatchPlay, Fábrica de Cine, SharpSword Films, Sikelia Productions, EFO Films","MX, TW, US"
Mad Max: Fury Road,2015-05-13,tt1392190,76341,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne, Josh Helman","Action, Adventure, Science Fiction","Warner Bros. Pictures, Village Roadshow Pictures, Kennedy Miller Mitchell, RatPac Entertainment","AU, US"
Avatar: The Way of Water,2022-12-14,tt1630029,76600,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Kate Winslet","Science Fiction, Adventure, Action","20th Century Studios, Lightstorm Entertainment",US
Jupiter Ascending,2015-02-04,tt1617661,76757,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…","Lilly Wachowski, Lana Wachowski","Channing Tatum, Mila Kunis, Sean Bean, Eddie Redmayne, Douglas Booth","Science Fiction, Fantasy, Action","Warner Bros. Pictures, Village Roadshow Pictures, RatPac Entertainment, Anarchos Productions",US
Terminator Genisys,2015-06-23,tt1340138,87101,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",Alan Taylor,"Emilia Clarke, Jai Courtney, Arnold Schwarzenegger, Jason Clarke, Matt Smith","Science Fiction, Action, Thriller, Adventure","Paramount Pictures, Skydance Media, Annapurna Pictures","CA, US"
The Only Living Boy in New York,2017-07-27,tt0460890,95608,"When a young man learns that his overbearing father is having an affair, he tries to stop it, only to be seduced by the older woman as well.",Marc Webb,"Callum Turner, Jeff Bridges, Kate Beckinsale, Pierce Brosnan, Cynthia Nixon",Drama,"Big Indie Pictures, Bona Fide Productions",US
Avengers: Age of Ultron,2015-04-22,tt2395427,99861,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",Joss Whedon,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson","Action, Adventure, Science Fiction",Marvel Studios,US
Assassin's Creed,2016-12-21,tt2094766,121856,"Through a technology that unlocks the generic memories of his ancestor in 15th century Spain, Callum Lynch discovers he is a descendant of an ancient line of Assassins and amasses lethal skills to take on the oppressive Templar Order.",Justin Kurzel,"Michael Fassbender, Marion Cotillard, Jeremy Irons, Brendan Gleeson, Charlotte Rampling","Action, Adventure, Science Fiction","New Regency Pictures, The Kennedy/Marshall Company, Ubisoft Film & Television, DMC Film","FR, GB, US"
Alien: Covenant,2017-05-09,tt2316204,126889,"The crew of the colony ship Covenant, bound for a remote planet on the far side of the galaxy, discovers what they think is an uncharted paradise but is actually a dark, dangerous world.",Ridley Scott,"Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride, Demián Bichir","Science Fiction, Horror, Thriller","20th Century Fox, Brandywine Productions, Scott Free Productions",US
Finding Dory,2016-06-16,tt2277860,127380,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?,Andrew Stanton,"Albert Brooks, Ellen DeGeneres, Ed O'Neill, Hayden Rolence, Diane Keaton","Adventure, Animation, Comedy, Family","Pixar, Walt Disney Pictures",US
The Hunger Games: Mockingjay - Part 2,2015-11-18,tt1951266,131634,"With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends – including Gale, Finnick, and Peeta – Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.",Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks","Action, Adventure, Science Fiction","Lionsgate, Color Force, Studio Babelsberg","DE, US"
Jurassic World,2015-06-06,tt0369610,135397,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio, Ty Simpkins","Action, Adventure, Science Fiction, Thriller","Amblin Entertainment, Universal Pictures",US
Trolls,2016-10-13,tt1679335,136799,"After the monstrous Bergens invade Troll Village, Princess Poppy, the happiest Troll ever born, and overly-cautious, curmudgeonly outcast Branch set off on a journey to rescue her friends. Their mission is full of adventure and mishaps, as this mismatched duo try to tolerate each other long enough to get the job done.",Mike Mitchell,"Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse, Christine Baranski","Family, Animation, Fantasy, Adventure, Comedy, Music",DreamWorks Animation,US
Smurfs: The Lost Village,2017-03-23,tt2398241,137116,"In this fully animated, all-new take on the Smurfs, a mysterious map sets Smurfette and her friends Brainy, Clumsy and Hefty on an exciting race through the Forbidden Forest leading to the discovery of the biggest secret in Smurf history.",Kelly Asbury,"Demi Lovato, Rainn Wilson, Joe Manganiello, Jack McBrayer, Danny Pudi","Family, Comedy, Adventure, Animation","Kerner Entertainment Company, Columbia Pictures, Sony Pictures Animation, LStar Capital, Wanda Pictures","CN, US, BE"
Justice League,2017-11-15,tt0974015,141052,"Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot, Ezra Miller","Action, Adventure, Science Fiction","RatPac Entertainment, Cruel & Unusual Films, Atlas Entertainment, Warner Bros. Pictures, DC Films",US
Inside Out,2015-06-17,tt2096673,150540,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",Pete Docter,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black","Animation, Family, Adventure, Drama, Comedy","Pixar, Walt Disney Pictures",US
Cinderella,2015-03-06,tt1661199,150689,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.",Kenneth Branagh,"Lily James, Cate Blanchett, Richard Madden, Stellan Skarsgård, Holliday Grainger","Romance, Fantasy, Family, Drama","Walt Disney Pictures, Genre Films, Beagle Pug Films, Allison Shearmur Productions","GB, US"
Pet Sematary,2019-04-04,tt0837563,157433,"Dr. Louis Creed and his wife, Rachel, move from Boston to Ludlow, in rural Maine, with their two young children. Hidden in the woods near the new family home, Ellie, their eldest daughter, discovers a mysterious cemetery where the pets of community members are buried.","Dennis Widmyer, Kevin Kölsch","Jason Clarke, Amy Seimetz, John Lithgow, Jeté Laurence, Hugo Lavoie","Horror, Thriller","di Bonaventura Pictures, Paramount Pictures",US
Tomorrowland,2015-05-19,tt1964418,158852,"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""",Brad Bird,"Britt Robertson, George Clooney, Raffey Cassidy, Hugh Laurie, Tim McGraw","Adventure, Family, Mystery, Science Fiction","Walt Disney Pictures, A113",US
Hotel Transylvania 2,2015-09-21,tt2510894,159824,"When the old-old-old-fashioned vampire Vlad arrives at the hotel for an impromptu family get-together, Hotel Transylvania is in for a collision of supernatural old-school and modern day cool.",Genndy Tartakovsky,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James, Steve Buscemi","Animation, Comedy, Family, Fantasy","Columbia Pictures, Sony Pictures Animation, MRC",US
Fantastic Four,2015-08-05,tt1502712,166424,"Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy.",Josh Trank,"Miles Teller, Kate Mara, Michael B. Jordan, Jamie Bell, Toby Kebbell","Action, Adventure, Science Fiction","20th Century Fox, Constantin Film, Marvel Entertainment, Marv, Genre Films, Robert Kulzer Productions, TSG Entertainment","GB, DE, US"
Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-23,tt1790809,166426,"Thrust into an all-new adventure, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon, but to find it, he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy.","Espen Sandberg, Joachim Rønning","Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites, Kaya Scodelario","Adventure, Action, Fantasy","Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil",US
How to Train Your Dragon: The Hidden World,2019-01-03,tt2386490,166428,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind.",Dean DeBlois,"Jay Baruchel, America Ferrera, F. Murray Abraham, Cate Blanchett, Gerard Butler","Animation, Family, Adventure","DreamWorks Animation, Mad Hatter Entertainment",US
Furious 7,2015-04-01,tt2820852,168259,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,James Wan,"Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham, Michelle Rodriguez","Action, Thriller, Crime","Original Film, One Race, Universal Pictures",US
Resident Evil: The Final Chapter,2016-12-23,tt2592614,173897,"Picking up immediately after the events in Resident Evil: Retribution, Alice is the only survivor of what was meant to be humanity's final stand against the undead. Now, she must return to where the nightmare began - The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",Paul W. S. Anderson,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts, Eoin Macken","Action, Horror, Science Fiction","Screen Gems, Constantin Film, Impact Pictures, Davis Films","CA, FR, DE, US"
Mission: Impossible - Rogue Nation,2015-07-28,tt2381249,177677,"Ethan and team take on their most impossible mission yet—eradicating 'The Syndicate', an International and highly-skilled rogue organization committed to destroying the IMF.",Christopher McQuarrie,"Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson, Ving Rhames","Action, Adventure","Paramount Pictures, Bad Robot, Odin, Skydance Media",US
Child 44,2015-03-15,tt1014763,181283,"Set in Stalin-era Soviet Union, a disgraced MGB agent is dispatched to investigate a series of child murders -- a case that begins to connect with the very top of party leadership.",Daniel Espinosa,"Tom Hardy, Gary Oldman, Noomi Rapace, Fares Fares, Joel Kinnaman","Crime, Thriller","Summit Entertainment, Worldview Entertainment, Lionsgate, Scott Free Productions",US
Star Trek Beyond,2016-07-07,tt2660888,188927,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",Justin Lin,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldaña, Simon Pegg","Action, Adventure, Science Fiction","Skydance Media, Paramount Pictures, Bad Robot, Perfect Storm Entertainment, Sneaky Shark",US
No Escape,2015-08-26,tt1781922,192141,"In their new overseas home, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape in an environment where foreigners are being immediately executed.",John Erick Dowdle,"Owen Wilson, Lake Bell, Pierce Brosnan, Sterling Jerins, Claire Geare","Thriller, Action","Living Films, Bold Films, Brothers Dowdle Productions","TH, US"
Collide,2016-06-10,tt2126235,195590,"An American backpacker gets involved with a ring of drug smugglers as their driver, and winds up on the run from his employers across Cologne’s autobahns.",Eran Creevy,"Nicholas Hoult, Felicity Jones, Anthony Hopkins, Ben Kingsley, Marwan Kenzari","Thriller, Action","Silver Pictures, 42, Automatik Entertainment, DMG Entertainment, hands-on producers","DE, GB, US"
Crimson Peak,2015-10-13,tt2554274,201085,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds… and remembers.",Guillermo del Toro,"Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam, Jim Beaver","Horror, Romance, Mystery, Thriller, Drama","Double Dare You, Legendary Pictures, Universal Pictures",US
In the Heart of the Sea,2015-12-03,tt1390411,205775,"In the winter of 1820, the New England whaling ship Essex is assaulted by something no one could believe—a whale of mammoth size and will, and an almost human sense of vengeance.",Ron Howard,"Chris Hemsworth, Benjamin Walker, Cillian Murphy, Brendan Gleeson, Ben Whishaw","Thriller, Drama, Adventure, Action, History","Imagine Entertainment, Spring Creek Pictures, Roth Films, Kjam Media, Cott Productions, Surf Film, Enelmar Productions, A.I.E., Warner Bros. Pictures, Village Roadshow Pictures","ES, US"
Mortdecai,2015-01-21,tt3045616,210860,"An art dealer, Charles Mortdecai, searches for a stolen painting rumored to contain a secret code that gains access to hidden Nazi gold.",David Koepp,"Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Paul Bettany, Jonny Pasvolsky","Comedy, Adventure","Lionsgate, Mad Chance, Infinitum Nihil, OddLot Entertainment, Huayi Brothers Pictures",US
Minions,2015-06-17,tt2293640,211672,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.","Kyle Balda, Pierre Coffin","Sandra Bullock, Jon Hamm, Michael Keaton, Allison Janney, Steve Coogan","Family, Animation, Adventure, Comedy","Illumination, Universal Pictures",US
Ted 2,2015-06-25,tt2637276,214756,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",Seth MacFarlane,"Mark Wahlberg, Seth MacFarlane, Amanda Seyfried, Jessica Barth, Giovanni Ribisi","Comedy, Fantasy","Smart Entertainment, Universal Pictures, Fuzzy Door Productions, Bluegrass Films, MRC",US
Fifty Shades of Grey,2015-02-11,tt2322441,216015,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",Sam Taylor-Johnson,"Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford, Victor Rasuk","Drama, Romance, Thriller","Universal Pictures, Focus Features, Michael De Luca Productions, Trigger Street Productions",US
The Peanuts Movie,2015-11-05,tt2452042,227973,"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their arch-nemesis, while his best pal Charlie Brown begins his own epic quest.",Steve Martino,"Noah Schnapp, Bill Melendez, Marleik 'Mar Mar' Walker, Alex Garfin, Hadley Belle Miller","Comedy, Animation, Family","Blue Sky Studios, 20th Century Fox Animation, 20th Century Fox, Feigco Entertainment",US
Home,2015-03-18,tt2224026,228161,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.",Tim Johnson,"Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez, Matt Jones","Fantasy, Comedy, Animation, Science Fiction, Family",DreamWorks Animation,US
The SpongeBob Movie: Sponge Out of Water,2015-01-28,tt2279373,228165,"Burger Beard is a pirate who is in search of the final page of a magical book that makes any evil plan he writes in it come true, which happens to be the Krabby Patty secret formula. When the entire city of Bikini Bottom is put in danger, SpongeBob, Patrick, Mr. Krabs, Squidward, Sandy, and Plankton need to go on a quest that takes them to the surface. In order to get back the recipe and save their city, the gang must retrieve the book and transform themselves into superheroes.","Paul Tibbitt, Mike Mitchell","Tom Kenny, Bill Fagerbakke, Rodger Bumpass, Clancy Brown, Mr. Lawrence","Family, Comedy, Adventure, Animation","Paramount Animation, Paramount Pictures, Nickelodeon Movies, United Plankton Pictures, Film Victoria, Rough Draft Studios, Disruption Entertainment","AU, US"
Demonic,2015-02-12,tt1841642,234212,A police officer and a psychologist investigate the deaths of five people who were killed while trying to summon ghosts.,Will Canon,"Dustin Milligan, Scott Mechlowicz, Cody H. Carolin, Maria Bello, Frank Grillo","Thriller, Horror","Icon Entertainment International, Dimension Films, First Point Entertainment, IM Global","GB, US"
Self/less,2015-07-10,tt2140379,238615,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,Tarsem Singh,"Ryan Reynolds, Ben Kingsley, Natalie Martinez, Matthew Goode, Michelle Dockery","Science Fiction, Action, Thriller","Ram Bergman Productions, Endgame Entertainment",US
Spy,2015-05-06,tt3079380,238713,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",Paul Feig,"Melissa McCarthy, Rose Byrne, Jason Statham, Jude Law, Miranda Hart","Action, Comedy, Crime","Chernin Entertainment, Feigco Entertainment, TSG Entertainment, 20th Century Fox",US
Regression,2015-10-01,tt3319920,241257,"Minnesota, 1990. Detective Bruce Kenner investigates the case of young Angela, who accuses her father, John Gray, of an unspeakable crime. When John unexpectedly and without recollection admits guilt, renowned psychologist Dr. Raines is brought in to help him relive his memories and what they discover unmasks a horrifying nationwide mystery.",Alejandro Amenábar,"Ethan Hawke, Emma Watson, David Thewlis, Lothaire Bluteau, Dale Dickey","Horror, Mystery, Thriller","Mod Producciones, First Generation Films, FilmNation Entertainment, Himenóptero, Telecinco Cinema, Telefónica Studios","CA, ES, US"
Run All Night,2015-03-11,tt2199571,241554,"Brooklyn mobster and prolific hit man Jimmy Conlon has seen better days. Longtime best friend of a mob boss, Jimmy is haunted by the sins of his past—as well as a dogged police detective who’s been one step behind Jimmy for 30 years. But when Jimmy’s estranged son becomes a target, Jimmy must make a choice between the crime family he chose and the real family he abandoned long ago. Now, with nowhere safe to turn, Jimmy has just one night to figure out exactly where his loyalties lie and to see if he can finally make things right.",Jaume Collet-Serra,"Liam Neeson, Joel Kinnaman, Ed Harris, Vincent D'Onofrio, Bruce McGill","Action, Crime, Thriller","RatPac Entertainment, Vertigo Entertainment, Energy Entertainment, Ombra Films, Warner Bros. Pictures","US, ES"
The Lazarus Effect,2015-01-29,tt2918436,243940,"Medical researcher Frank, his fiancee Zoe and their team have achieved the impossible: they have found a way to revive the dead. After a successful, but unsanctioned, experiment on a lifeless animal, they are ready to make their work public. However, when their dean learns what they've done, he shuts them down. Zoe is killed during an attempt to recreate the experiment, leading Frank to test the process on her. Zoe is revived -- but something evil is within her.",David Gelb,"Mark Duplass, Olivia Wilde, Donald Glover, Evan Peters, Sarah Bolger","Horror, Science Fiction, Thriller","Lionsgate, Blumhouse Productions, Chapter One Films, Relativity Media",US
Abattoir,2016-11-24,tt1480285,245627,A reporter unearths an urban legend about a home being constructed from rooms where horrific tragedies have occurred.,Darren Lynn Bousman,"Jessica Lowndes, Joe Anderson, Lin Shaye, Dayton Callie, Michael Paré","Horror, Thriller","Radical Pictures, Dark Web Productions, Les Enfants Terribles, Luminary Entertainment, Pacific Bridge Pictures",US
Hitman: Agent 47,2015-08-20,tt2679042,249070,An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.,Aleksander Bach,"Rupert Friend, Zachary Quinto, Hannah Ware, Emilio Rivera, Rolf Kanies","Action, Crime, Thriller","Daybreak Productions, Prime Universe Productions, Giant Pictures, TSG Entertainment, Dayday Films, Ingenious Media, Fox International Productions","GB, US"
While We're Young,2015-04-03,tt1791682,252512,An uptight documentary filmmaker and his wife find their lives loosened up a bit after befriending a free-spirited younger couple.,Noah Baumbach,"Ben Stiller, Naomi Watts, Adam Driver, Amanda Seyfried, Charles Grodin","Comedy, Drama, Mystery",Scott Rudin Productions,US
Everest,2015-09-10,tt2719848,253412,"Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, ""Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival.",Baltasar Kormákur,"Jason Clarke, Josh Brolin, Jake Gyllenhaal, Elizabeth Debicki, Keira Knightley","Adventure, Drama, History","Cross Creek Pictures, Working Title Films, Walden Media, RVK Studios, Universal Pictures, Free State Pictures","IS, GB, US"
San Andreas,2015-05-27,tt2126355,254128,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.",Brad Peyton,"Dwayne Johnson, Alexandra Daddario, Carla Gugino, Ioan Gruffudd, Archie Panjabi","Action, Drama, Thriller","New Line Cinema, Village Roadshow Pictures, Flynn Picture Company, Warner Bros. Pictures","CA, US, AU"
Pitch Perfect 2,2015-05-07,tt2848292,254470,"The Bellas are back, and they are better than ever. After being humiliated in front of none other than the President of the United States of America, the Bellas are taken out of the Aca-Circuit. In order to clear their name, and regain their status, the Bellas take on a seemingly impossible task: winning an international competition no American team has ever won. In order to accomplish this monumental task, they need to strengthen the bonds of friendship and sisterhood and blow away the competition with their amazing aca-magic! With all new friends and old rivals tagging along for the trip, the Bellas can hopefully accomplish their dreams.",Elizabeth Banks,"Anna Kendrick, Brittany Snow, Hailee Steinfeld, Rebel Wilson, Ester Dean","Comedy, Music","Brownstone Productions, Gold Circle Films, Universal Pictures",US
Focus,2015-02-25,tt2381941,256591,"Nicky, an accomplished con artist, gets romantically involved with his disciple Jess but later ends their relationship. Years later, she returns as a femme fatale to spoil his plans.","John Requa, Glenn Ficarra","Will Smith, Margot Robbie, Rodrigo Santoro, Gerald McRaney, Adrian Martinez","Romance, Comedy, Crime","K & S Films, RatPac Entertainment, Zaftig Films, Warner Bros. Pictures, Di Novi Pictures",US
Danny Collins,2015-03-19,tt1772288,256924,An ageing hard-living 1970s rock star decides to change his life when he discovers a 40-year-old undelivered letter written to him by John Lennon.,Dan Fogelman,"Al Pacino, Annette Bening, Christopher Plummer, Jennifer Garner, Bobby Cannavale","Music, Comedy, Drama","Shivhans Pictures, Big Indie Pictures, Handwritten Films",US
The Intern,2015-09-23,tt2361509,257211,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",Nancy Meyers,"Robert De Niro, Anne Hathaway, Rene Russo, Anders Holm, JoJo Kushner",Comedy,"Warner Bros. Pictures, RatPac Entertainment, Waverly Films",US
Pixels,2015-07-16,tt2120120,257344,Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.,Chris Columbus,"Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage, Josh Gad","Action, Comedy, Science Fiction, Fantasy","Columbia Pictures, Happy Madison Productions, 1492 Pictures, LStar Capital, China Film Group Corporation, Film Croppers Entertainment, Prime Focus","CN, FR, IN, US"
Tulip Fever,2017-07-13,tt0491203,257785,An artist falls for a married young woman while he's commissioned to paint her portrait. The two invest in the risky tulip market in hopes to build a future together.,Justin Chadwick,"Alicia Vikander, Dane DeHaan, Christoph Waltz, Judi Dench, Jack O'Connell","Drama, Romance","The Weinstein Company, Worldview Entertainment, Paramount Pictures, Ruby Films","GB, US"
A Monster Calls,2016-10-07,tt3416532,258230,12-year-old Conor encounters an ancient tree monster who proceeds to help him cope with his mother's terminal illness and being bullied in school.,J.A. Bayona,"Lewis MacDougall, Sigourney Weaver, Felicity Jones, Toby Kebbell, Ben Moor","Fantasy, Adventure, Family","River Road Entertainment, Participant, Apaches Films, La Trini, A Monster Calls AIE, Telecinco Cinema, Summit Entertainment, Focus Features","ES, US"
Carol,2015-11-20,tt2402927,258480,"In 1950s New York, a department-store clerk who dreams of a better life falls for an older, married woman.",Todd Haynes,"Cate Blanchett, Rooney Mara, Kyle Chandler, Jake Lacy, Sarah Paulson","Romance, Drama","Killer Films, Number 9 Films, Film4 Productions","GB, US"
Fantastic Beasts and Where to Find Them,2016-11-16,tt3183660,259316,"In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.",David Yates,"Eddie Redmayne, Katherine Waterston, Dan Fogler, Alison Sudol, Colin Farrell","Fantasy, Adventure","Heyday Films, Warner Bros. Pictures","GB, US"
