title,release_date,imdb_id,tmdb_id,overview,directors,cast_top5,genres,production_companies,production_countries
She Said,2022-11-17,tt11198810,837881,New York Times reporters Megan Twohey and Jodi Kantor break one of the most important stories in a generation — a story that helped launch the #MeToo movement and shattered decades of silence around the subject of sexual assault in Hollywood.,Maria Schrader,"Zoe Kazan, Carey Mulligan, Patricia Clarkson, Andre Braugher, Jennifer Ehle","Drama, History","Plan B Entertainment, Annapurna Pictures, Universal Pictures",US
May December,2023-11-16,tt13651794,839369,"Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under the pressure when an actress arrives to do research for a film about their past.",Todd Haynes,"Natalie Portman, Julianne Moore, Charles Melton, Cory Michael Smith, Elizabeth Yu",Drama,"Gloria Sanchez Productions, Killer Films, MountainA, Taylor & Dodge, Project Infinity",US
The Holdovers,2023-10-27,tt14849194,840430,"A curmudgeonly instructor at a New England prep school is forced to remain on campus during Christmas break to babysit the handful of students with nowhere to go. Eventually, he forms an unlikely bond with one of them — a damaged, brainy troublemaker — and with the school’s head cook, who has just lost a son in Vietnam.",Alexander Payne,"Paul Giamatti, Dominic Sessa, Da'Vine Joy Randolph, Carrie Preston, Brady Hepner","Comedy, Drama","Miramax, Gran Via Productions",US
Ghost Mansion,2021-06-30,tt14895216,842033,A horror webtoon writer journeys to a shabby apartment building in search of ideas. The building's caretaker tells him about multiple strange events that happened throughout the building's history.,Jo Ba-reun,"Sung Joon, Kim Hong-pa, Kim Bo-ra, Lee Chang-hoon, Park So-jin",Horror,"MCMC, Contents Panda",KR
Guimoon: The Lightless Door,2021-08-25,tt14922584,844069,"In 1990, at a secluded community center, the custodian murders all the guest lodgers and kills himself. Ever since, on every Old Year's Night, paranormal events begin to take place within the building. Eventually, the center is shut down and left abandoned for years. A renowned paranormal investigator who had lost his mother during an exorcism and three college students who heard about the rumor of the unexplained phenomena heads over to the building, resolved to uncover the buried secret.",Sim Deok-geun,"Kim Kang-woo, Kim So-hye, Lee Jung-hyoung, Hong Jin-gi, Um Chae-young","Horror, Thriller","CJ CGV, Jupiter Film, Ghostpictures",KR
The Ghost Station,2023-04-19,tt22505124,844386,Reporter Na-yeong and her partner investigate a series of mysterious deaths and a perplexing case where her source was allegedly already dead at the time of their interview. Together they end up confronting a terrifying truth.,Jeong Yong-ki,"Kim Bo-ra, Kim Jae-hyun, Shin So-yul, Oh Jin-seok, Kim Kang-il","Horror, Mystery","Smile Ent., Zoa Films, Mystery Pictures","KR, JP"
Marlowe,2023-02-15,tt6722802,844417,Private detective Philip Marlowe becomes embroiled in an investigation involving a wealthy Californian family after a beautiful blonde hires him to track down her former lover.,Neil Jordan,"Liam Neeson, Diane Kruger, Jessica Lange, Danny Huston, Alan Cumming",Crime,"Parallel Films, H2L Media Group, Nickel City Pictures, StoryBoard Media, Davis Films, Aperture Media Partners, Elipsis Capital, Jeff Rice Films, The Foley Lab, Fís Éireann/Screen Ireland, Parallel Film Productions","FR, IE, ES, US"
Red One,2024-10-31,tt14948432,845781,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",Jake Kasdan,"Dwayne Johnson, Chris Evans, Kiernan Shipka, J.K. Simmons, Lucy Liu","Action, Comedy, Fantasy","Seven Bucks Productions, The Detective Agency, Chris Morgan Productions, Metro-Goldwyn-Mayer",US
Joy Ride,2023-06-22,tt15268244,864168,"When Audrey's business trip to Asia goes sideways, she enlists the aid of Lolo, her irreverent, childhood best friend who also happens to be a hot mess; Kat, her college friend turned Chinese soap star; and Deadeye, Lolo's eccentric cousin. Their no-holds-barred, epic experience becomes a journey of bonding, friendship, belonging, and wild debauchery that reveals the universal truth of what it means to know and love who you are.",Adele Lim,"Ashley Park, Sherry Cola, Stephanie Hsu, Sabrina Wu, David Denman",Comedy,"Lionsgate, Point Grey Pictures, Red Mysterious Hippo","CA, GB, US"
The Beekeeper,2024-01-08,tt15314262,866398,One man's campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as Beekeepers.,David Ayer,"Jason Statham, Emmy Raver-Lampman, Bobby Naderi, Josh Hutcherson, Jeremy Irons","Action, Crime, Thriller","Miramax, Cedar Park Entertainment, Punch Palace Productions","GB, US"
A Man,2022-11-18,tt20251822,869886,"Akira works as a lawyer. One day, he meets with his former client Rie, who asks Akira to perform a background check on her late husband Daisuke.",Kei Ishikawa,"Satoshi Tsumabuki, Sakura Ando, Masataka Kubota, Nana Seino, Hidekazu Mashima","Drama, Thriller, Mystery","Shochiku, Kinoshita Group, GYAO, Bungeishunju, Aeon Entertainment, Shochiku Broadcasting",JP
Corrective Measures,2022-04-29,tt15391770,872177,"Set in San Tiburon, the world's most dangerous maximum-security penitentiary and home to the world's most treacherous superpowered criminals, where tensions among the inmates and staff heighten, leading to anarchy that engulfs the prison and order is turned upside down.",Sean Patrick O'Reilly,"Brennan Mejia, Dan Payne, Michael Rooker, Bruce Willis, Tom Cavanagh","Science Fiction, Action, Thriller, Adventure","Tubi, The Exchange, Arcana Productions",US
Oppenheimer,2023-07-19,tt15398776,872585,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,Christopher Nolan,"Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr., Florence Pugh","Drama, History","Syncopy, Universal Pictures, Atlas Entertainment, Breakheart Films, Peters Creek Entertainment","GB, US"
The Last 10 Years,2022-03-04,tt16444750,876797,Twenty-year-old Matsuri Takabayashi learns that she only has ten years to live due to an incurable disease. She decides to not dwell on her life and not to fall in love – until she meets a man named Kazuto Manabe at a school reunion.,Michihito Fujii,"Nana Komatsu, Kentaro Sakaguchi, Yuki Yamada, Satoru Iguchi, Haru Kuroki","Drama, Romance","Warner Bros. Japan, Robot Communications, L'espace Vision, Tristone Entertainment, Stardust Pictures, Kansai Television, voque ting, dentsu",JP
Strange World,2022-11-23,tt10298840,877269,"A journey deep into an uncharted and treacherous land, where fantastical creatures await the legendary Clades—a family of explorers whose differences threaten to topple their latest, and by far most crucial, mission.",Don Hall,"Jake Gyllenhaal, Dennis Quaid, Jaboukie Young-White, Gabrielle Union, Lucy Liu","Animation, Family, Adventure, Science Fiction, Fantasy","Walt Disney Pictures, Walt Disney Animation Studios",US
Smile,2022-09-23,tt15474916,882598,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain.",Parker Finn,"Sosie Bacon, Kyle Gallner, Jessie T. Usher, Robin Weigert, Caitlin Stasey","Horror, Mystery","Paramount Players, Temple Hill Entertainment",US
Blue Giant,2023-02-17,tt15737898,887870,"High school student Dai Miyamoto has his life is turned upside down the day he discovers jazz. Picking up a saxophone and leaving his sleepy hometown for the bustling nightclubs of Tokyo, Dai will find that the life of a professional musician isn’t for the faint of heart, as he must confront what it truly means to be great.",Yuzuru Tachikawa,"Yuki Yamada, Shotaro Mamiya, Amane Okayama, Yusuke Kondoh, Mirei Suda","Animation, Drama, Music","NUT, TOHO",JP
Joker: Folie à Deux,2024-10-01,tt11315808,889737,"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.",Todd Phillips,"Joaquin Phoenix, Lady Gaga, Brendan Gleeson, Catherine Keener, Zazie Beetz","Drama, Crime, Thriller","Warner Bros. Pictures, Joint Effort, Domain Entertainment",US
Sword Art Online the Movie – Progressive – Scherzo of Deep Night,2022-10-22,tt15830702,893712,"Over a month has passed since 10,000 users were trapped inside the ""Sword Art Online"" world. Asuna, who cleared the first floor of the floating iron castle of Aincrad, joined up with Kirito and continued her journey to reach the top floor. With the support of female Information Broker Argo, clearing the floors seemed to be progressing smoothly, but conflict erupts between two major guilds who should be working together – the top player groups ALS (the Aincrad Liberation Squad) and DKB (the Dragon Knights Brigade). And meanwhile, behind the scenes exists a mysterious figure pulling the strings…",Ayako Kono,"Haruka Tomatsu, Yoshitsugu Matsuoka, Inori Minase, Shiori Izawa, Hiroki Yasumoto","Animation, Action, Fantasy, Science Fiction","A-1 Pictures, EGG FIRM, Straight Edge, Aniplex, Sonilude",JP
PAW Patrol: The Mighty Movie,2023-09-21,tt15837338,893723,"A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups.",Cal Brunker,"Mckenna Grace, Taraji P. Henson, Marsai Martin, Christian Convery, Ron Pardo","Family, Comedy, Adventure, Animation","Nickelodeon Movies, Spin Master, Paramount Pictures, Mikros Image, Mikros Animation, adrian150 Animation","CA, FR, US"
