movieCd,salesAcc,audiAcc,movieNm_box,actors,directors,genres,nations,repNationNm,productionCompanies
20235544,65405000,8004,출동! 왕엉덩이 히어로: 털복숭이 꼬리도적단 소탕작전,데보라 메일맨|에드 옥슨볼드,리카르드 쿠소,애니메이션|액션|어드벤처,호주,,
20235562,71792045,8298,인어공주: 마법물약의 비밀,,,애니메이션,미국,,
20235583,2872098519,314330,인투 더 월드,엘리자베스 뱅크스|캐롤 케인|아콰피나|쿠마일 난지아니,벤자민 레너,애니메이션,미국,,
20235596,3705116647,401096,트롤: 밴드 투게더,안나 켄드릭|저스틴 팀버레이크|주이 디샤넬|에이미 슈머|앤드류 라넬스,월트 도른,애니메이션,미국,,
20235613,2127146068,208520,스턴트맨,라이언 고슬링|에밀리 블런트|애론 테일러 존슨|윈스턴 듀크|스테파니 수,데이빗 레이치,액션|코미디|멜로/로맨스,미국,,
20235631,560098500,28008,비투비 타임 : 비투게더 더 무비,,,공연|다큐멘터리,한국,,
20235647,78640789,9480,노 엑시트,,프랑스 칼포운,공포(호러)|스릴러,미국|프랑스,,
20235693,74317357,7805,리빙: 어떤 인생,빌 나이|에이미 루 우드|알렉스 샤프|톰 버크,올리버 허머너스,드라마,영국,,
20235697,442017500,19906,엔시티 네이션 : 투 더 월드 인 시네마,,오윤동,공연|다큐멘터리,한국,,씨제이포디플렉스 주식회사
20235698,624318738,60005,쏘우 X,토빈 벨|쇼니 스미스,케빈 그루터트,공포(호러)|스릴러,미국,,
20235734,103492900,11802,폭락,송재림|안우연|민성욱|소희정|이승빈,현해리,드라마|범죄,한국,,주식회사 무암
20235735,8778541594,856506,아쿠아맨과 로스트 킹덤,제이슨 모모아|패트릭 윌슨|야히아 압둘 마틴 2세|앰버 허드|니콜 키드먼,제임스 완,액션|어드벤처|판타지,미국,,
20235834,11894501498,1242978,위시,아리아나 데보스|크리스 파인|알란 터딕,폰 비라선손|크리스 벅,애니메이션,미국,,
20235838,222674831,22132,악은 존재하지 않는다,오미카 히토시|니시카와 료|코사카 류지|시부타니 아야카,하마구치 류스케,드라마,일본,,
