movieCd,movieNm,movieNmEn,movieNmOg,showTm,prdtYear,openDt,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
20184865,고질라: 킹 오브 몬스터,Godzilla: King of the Monsters,,131.0,2019,20190529,개봉,장편,,,,액션|어드벤처|SF,미국,마이클 도허티,밀리 바비 브라운|베라 파미가|카일 챈들러|샐리 호킨스|와타나베 켄,,워너브러더스 코리아(주)
20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,The Haunted House: The Sky Ghost VS Jormungandr,,96.0,2019,20191219,개봉,장편,,,,애니메이션,한국,변영규,김영은|김채하|신용우|양정화|김현지,(주)씨제이이엔엠,(주)씨제이이엔엠
20209021,런 보이 런,RUN BOY RUN,,90.0,2020,20200528,개봉,장편,,,,드라마,한국,오원재,장동윤|서벽준|신표|한이진|장명운,(주)라온컴퍼니플러스|(주)오아시스이엔티,(주)라온컴퍼니플러스
20195962,증발,Evaporated,,115.0,2019,20201112,개봉,장편,,,,다큐멘터리,한국,김성민,최준원|최용진|최준선|이형근|강성우,미들,㈜인디스토리
20181877,캡틴 마블,Captain Marvel,,123.0,2018,20190306,개봉,장편,,,,액션|어드벤처|SF,미국,애너 보든|라이언 플렉,브리 라슨|사무엘 L. 잭슨|벤 멘델슨|주드 로,,월트디즈니컴퍼니코리아 유한책임회사
20206447,라라걸,Ride Like a Girl,,98.0,2019,20200415,개봉,장편,,,,드라마,호주,레이첼 그리피스,테레사 팔머|샘 닐|설리반 스탭플턴,,판씨네마(주)
20192101,히트맨,HITMAN: AGENT JUN,,109.0,2019,20200122,개봉,장편,,,,코미디|액션,한국,최원섭,권상우|정준호|황우슬혜|이이경|이지원,베리굿스튜디오(주),롯데컬처웍스(주)롯데엔터테인먼트
20205663,엘라 벨라 빙고: 친구 찾기 대작전,Ella Bella Bingo,,77.0,2020,20200812,개봉,장편,,,,애니메이션,노르웨이,아틀 솔버그 블락세트|프랭크 모스볼드,잭 피셔,,(주)박수엔터테인먼트
20124721,어벤져스,The Avengers,,142.0,2012,20120426,개봉,장편,,,,액션|SF,미국,조스 웨던,로버트 다우니 주니어|스칼렛 요한슨|크리스 헴스워스|크리스 에반스|제레미 레너,,월트디즈니컴퍼니코리아 유한책임회사|한국소니픽쳐스릴리징브에나비스타영화㈜
20181685,호텔 레이크,,,100.0,2020,20200429,개봉,장편,,,,공포(호러),한국,윤은경,이세영|박효주|이세영|박지영|김보윤,(주)이에스픽쳐스|㈜인디스토리,(주)스마일이엔티
20196271,강철비2: 정상회담,Steel Rain2: Summit,,131.0,2019,20200729,개봉,장편,,,,드라마|액션,한국,양우석,정우성|유연석|곽도원|앵거스 맥페이든|신정근,(주)스튜디오게니우스우정,롯데컬처웍스(주)롯데엔터테인먼트
20198182,아내를 죽였다,Killed My Wife,,97.0,2019,20191211,개봉,장편,,,,스릴러|액션,한국,김하라,이시언|안내상|왕지혜|서지영|문다은,단테미디어랩,(주)케이티알파
20197141,와일드 로즈,Wild Rose,,100.0,2018,20191017,개봉,장편,,,,드라마,영국,톰 하퍼,제시 버클리|줄리 월터스|소피 오코네도,,판씨네마(주)
20197721,엔젤 해즈 폴른,Angel Has Fallen,,120.0,2019,20191113,개봉,장편,,,,액션|스릴러,미국,릭 로먼 워,제라드 버틀러|모건 프리먼|대니 휴스턴|프레드릭 슈미트|로시 윌리엄스,,메가박스중앙(주) 플러스엠 엔터테인먼트
20198291,로켓맨,Rocketman,,121.0,2019,20190605,개봉,장편,,,,드라마|판타지,영국|미국,덱스터 플레처,태런 에저튼|리처드 매든|브라이스 달라스 하워드|제이미 벨,,롯데컬처웍스(주)롯데엔터테인먼트
20196404,신밧드와 마법 양탄자,Up and away,,81.0,2018,20190213,개봉,장편,,,,애니메이션|어드벤처,덴마크,카스텐 킬러리치,,,(주)박수엔터테인먼트
20200246,부활: 그 증거,Stigma,,96.0,2020,20201008,개봉,장편,,,,다큐멘터리,한국,김상철,권오중|이성혜|이용규|이어령|천정은,파이오니아21,(주)영화사 진진
20205529,그링고,Gringo,,110.0,2018,20200305,개봉,장편,,,,액션|코미디|드라마,미국,내쉬 에드게톤,데이빗 오예로워|샤를리즈 테론|조엘 에저튼|아만다 사이프리드|탠디 뉴튼,,(주)영화사 진진
20205841,더 터닝,The Turning,,94.0,2020,20200402,개봉,장편,,,,미스터리|공포(호러),미국,플로리아 시지스몬디,맥켄지 데이비스|핀 울프하드,,(주)스마일이엔티
20208016,레벨 16,LEVEL 16,,102.0,2018,20201210,개봉,장편,,,,스릴러|공포(호러),캐나다,,사라 캐닝,,(주)디오시네마
20195203,레플리카,Replicas,,107.0,2018,20190925,개봉,장편,,,,범죄|미스터리|SF|스릴러,미국,제프리 나흐마노프,키아누 리브스|앨리스 이브|토머스 미들디치,,(주)제이앤씨미디어그룹
20209961,지저귀는 새는 날지 않는다,The Clouds gather,,85.0,2020,20200716,개봉,장편,,,,애니메이션,일본,마키타 카오리,신가키 타루스케|하타노 와타루,,(주)팝엔터테인먼트
20200475,로그,Rogue,,105.0,2020,20201125,개봉,장편,,,,액션,미국,M.J. 버세트,메간 폭스|필립 윈체스터,,(주)스톰픽쳐스코리아|와이드 릴리즈(주)
20188750,나쁜 녀석들: 더 무비,The Bad Guys: Reign of Chaos,,114.0,2019,20190911,개봉,장편,,,,범죄|액션,한국,손용호,마동석|김상중|김아중|장기용|박형수,(주)씨제이이엔엠|(주)영화사비단길,(주)씨제이이엔엠
20173226,패왕별희 디 오리지널,Farewell My Concubine,,171.0,1993,20170330,개봉,장편,,,,드라마|멜로/로맨스,중국,첸 카이거,장국영|공리|장풍의,,와이드 릴리즈(주)|(주)제이앤씨미디어그룹|(주)드림팩트엔터테인먼트
20193275,브링 더 소울 : 더 무비,BRING THE SOUL : THE MOVIE,,101.0,2020,20190807,개봉,장편,,,,기타,한국,박준수,김남준|김석진|민윤기|정호석|박지민,빅히트 엔터테인먼트|(주)캠프엔터테인먼트,씨지브이 아이스콘|월트디즈니컴퍼니코리아 유한책임회사
20188393,"다시, 봄","Spring, Again",,104.0,2018,20190417,개봉,장편,,,,드라마|판타지,한국,정용주,이청아|홍종현|박지빈|김주령|박경혜,(주)26컴퍼니|(주)케이웍스스튜디오,(주)스마일이엔티
