rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm_box,openDt_box,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,movieNm_detail,movieNmEn,movieNmOg,showTm,prdtYear,openDt_detail,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
6,6,1,OLD,20205001,도망친 여자,2020-09-17,7467250,1.2,-908930,-10.9,17166430,838,-196,-19.0,2019,134,184,20200918,도망친 여자,The Woman Who Ran,,77,2019,20200917,개봉,장편,,,,드라마,한국,홍상수,김민희|서영화|송선미|김새벽|권해효,(주)영화제작전원사 ,(주)영화제작전원사 |(주)콘텐츠판다
7,7,2,OLD,20202103,비독: 파리의 황제,2020-09-17,6250200,1.0,282390,4.7,12218010,742,-24,-3.1,1508,170,247,20200918,비독: 파리의 황제,The Emperor of Paris,L'EMPEREUR DE PARIS,120,2018,20200917,개봉,장편,,,,액션|범죄|드라마,프랑스,장-프랑소와 리셰,뱅상 카셀|올가 쿠릴렌코|오거스트 딜|드니 라방,,(주)영화특별시에스엠씨|주식회사 더쿱
8,8,-2,OLD,20202204,더 렌탈 : 소리없는 감시자,2020-09-16,6427260,1.0,-1138710,-15.1,35687670,701,-360,-33.9,4743,168,229,20200918,더 렌탈 : 소리없는 감시자,The Rental,,88,2020,20200916,개봉,장편,,,,공포(호러)|스릴러,미국,데이브 프랑코,댄 스티븐스|알리슨 브리|셰일라 밴드,,(주)제이앤씨미디어그룹
9,9,2,OLD,20175405,뉴 뮤턴트,2020-09-10,5365140,0.8,1002980,23.0,523843890,587,59,11.2,59354,170,223,20200918,뉴 뮤턴트,The New Mutants,,93,2020,20200910,개봉,장편,,,,액션|공포(호러)|SF,미국,조쉬 분,메이지 윌리암스|안야 테일러 조이|찰리 히튼|헨리 자가|블루 헌트,,월트디즈니컴퍼니코리아 유한책임회사
10,10,2,OLD,20183813,결백,2020-06-10,4000000,0.6,289000,7.8,7830304340,500,0,0.0,890253,4,4,20200918,결백,Innocence,,110,2019,20200610,개봉,장편,,,,드라마,한국,박상현,신혜선|배종옥|허준호|태항호|홍경,(주)이디오플랜,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점|(주)키다리이엔티
1,1,1,OLD,20201122,테넷,2020-08-26,515611960,39.7,284073050,122.7,13731912840,53750,29889,125.3,1491803,1035,2912,20200919,테넷,Tenet,,149,2020,20200826,개봉,장편,,,,액션|SF,미국,크리스토퍼 놀란,존 데이비드 워싱턴|로버트 패틴슨|엘리자베스 데비키|애론 테일러 존슨|마이클 케인,,워너브러더스 코리아(주)
2,2,-1,OLD,20193822,뮬란,2020-09-17,465235020,35.8,223243740,92.3,965010960,51263,24429,91.0,109585,1418,5384,20200919,뮬란,Mulan,,115,2019,20200917,개봉,장편,,,,어드벤처|드라마|가족,미국,니키 카로,유역비|이연걸|공리|견자단|제이슨 스콧 리,,월트디즈니컴퍼니코리아 유한책임회사
3,3,0,OLD,20193666,오! 문희,2020-09-02,105418900,8.1,54626120,107.5,2206805940,11928,6114,105.2,273295,539,1320,20200919,오! 문희,Oh! My Gran,,109,2020,20200902,개봉,장편,,,,코미디|드라마,한국,정세교,나문희|이희준|김예은|최원영|박지영,(주)빅스톤픽쳐스,CGV아트하우스
4,4,0,OLD,20201687,기기괴괴 성형수,2020-09-09,58374100,4.5,28679800,96.6,609370500,6357,3131,97.1,68449,227,679,20200919,기기괴괴 성형수,Beauty Water,,85,2020,20200909,개봉,장편,,,,공포(호러)|스릴러,한국,조경훈,문남숙|장민혁|조현정|김보영|최승훈,(주)에스에스애니멘트 |(주)스튜디오 애니멀,(주)트리플픽쳐스
5,5,5,OLD,20183813,결백,2020-06-10,15880000,1.2,11880000,297.0,7846184340,2000,1500,300.0,892253,14,14,20200919,결백,Innocence,,110,2019,20200610,개봉,장편,,,,드라마,한국,박상현,신혜선|배종옥|허준호|태항호|홍경,(주)이디오플랜,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점|(주)키다리이엔티
6,6,25,OLD,20199883,오케이 마담,2020-08-12,8928500,0.7,8229000,1176.4,10972863000,1651,1576,2101.3,1227416,23,25,20200919,오케이 마담,OK! MADAM,,100,2019,20200812,개봉,장편,,,,코미디|액션,한국,이철하,엄정화|박성웅|이상윤|배정남|이선빈,올픽처스 주식회사|(주)사나이픽처스,메가박스중앙(주) 플러스엠 엔터테인먼트
7,7,0,NEW,20205386,인디애니페스트2020 릴레이작가 초청전, ,8220000,0.6,8220000,100.0,8766000,1370,1370,100.0,1461,4,10,20200919,인디애니페스트2020 릴레이작가 초청전,Invitation from Relay Animation Artists,,,2020,,기타,옴니버스,,,,애니메이션,기타,,,,
8,8,-3,OLD,20197922,다만 악에서 구하소서,2020-08-05,12189070,0.9,2910490,31.4,38542934580,1360,504,58.9,4349275,133,174,20200919,다만 악에서 구하소서,DELIVER US FROM EVIL,,107,2019,20200805,개봉,장편,,,,범죄|액션,한국,홍원찬,황정민|이정재|박정민|박소이|최희서,(주)하이브미디어코프,(주)씨제이이엔엠
9,9,4,OLD,20205284,매지컬: 공주를 웃겨라,2020-09-17,9801480,0.8,7266680,286.7,15992940,1214,897,283.0,1999,216,255,20200919,매지컬: 공주를 웃겨라,,,81,2020,20200917,개봉,장편,,,,애니메이션,한국,정윤철,박지윤|남도형|장광|박상훈|이봉준,애니투아트(주),(주)에이원엔터테인먼트
10,10,-3,OLD,20202103,비독: 파리의 황제,2020-09-17,10643480,0.8,4393280,70.3,22861490,1130,388,52.3,2638,180,247,20200919,비독: 파리의 황제,The Emperor of Paris,L'EMPEREUR DE PARIS,120,2018,20200917,개봉,장편,,,,액션|범죄|드라마,프랑스,장-프랑소와 리셰,뱅상 카셀|올가 쿠릴렌코|오거스트 딜|드니 라방,,(주)영화특별시에스엠씨|주식회사 더쿱
1,1,0,OLD,20201122,테넷,2020-08-26,424020310,38.5,-91591650,-17.8,14155933150,44566,-9184,-17.1,1536369,1073,2919,20200920,테넷,Tenet,,149,2020,20200826,개봉,장편,,,,액션|SF,미국,크리스토퍼 놀란,존 데이비드 워싱턴|로버트 패틴슨|엘리자베스 데비키|애론 테일러 존슨|마이클 케인,,워너브러더스 코리아(주)
2,2,0,OLD,20193822,뮬란,2020-09-17,382399490,34.8,-82835530,-17.8,1347410450,42448,-8815,-17.2,152033,1396,5120,20200920,뮬란,Mulan,,115,2019,20200917,개봉,장편,,,,어드벤처|드라마|가족,미국,니키 카로,유역비|이연걸|공리|견자단|제이슨 스콧 리,,월트디즈니컴퍼니코리아 유한책임회사
3,3,0,OLD,20193666,오! 문희,2020-09-02,102625010,9.3,-2793890,-2.7,2309430950,11627,-301,-2.5,284922,540,1320,20200920,오! 문희,Oh! My Gran,,109,2020,20200902,개봉,장편,,,,코미디|드라마,한국,정세교,나문희|이희준|김예은|최원영|박지영,(주)빅스톤픽쳐스,CGV아트하우스
4,4,0,OLD,20201687,기기괴괴 성형수,2020-09-09,51225900,4.7,-7148200,-12.2,660596400,5483,-874,-13.7,73932,230,660,20200920,기기괴괴 성형수,Beauty Water,,85,2020,20200909,개봉,장편,,,,공포(호러)|스릴러,한국,조경훈,문남숙|장민혁|조현정|김보영|최승훈,(주)에스에스애니멘트 |(주)스튜디오 애니멀,(주)트리플픽쳐스
5,5,0,OLD,20183813,결백,2020-06-10,13445000,1.2,-2435000,-15.3,7859629340,1772,-228,-11.4,894025,12,12,20200920,결백,Innocence,,110,2019,20200610,개봉,장편,,,,드라마,한국,박상현,신혜선|배종옥|허준호|태항호|홍경,(주)이디오플랜,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점|(주)키다리이엔티
6,6,5,OLD,20202281,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,2020-08-20,11263540,1.0,1700260,17.8,982159240,1344,227,20.3,120580,107,138,20200920,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,Crayon Shin-chan: Honeymoon Hurricane ~The Lost Hiroshi~,,99,2019,20200820,개봉,장편,,,,애니메이션,일본,하시모토 마사카즈,박영남|김환진|강희선|여민정|정유미,,(주)씨제이이엔엠
7,7,1,OLD,20197922,다만 악에서 구하소서,2020-08-05,10679680,1.0,-1509390,-12.4,38553614260,1218,-142,-10.4,4350493,121,165,20200920,다만 악에서 구하소서,DELIVER US FROM EVIL,,107,2019,20200805,개봉,장편,,,,범죄|액션,한국,홍원찬,황정민|이정재|박정민|박소이|최희서,(주)하이브미디어코프,(주)씨제이이엔엠
8,8,-1,OLD,20205386,인디애니페스트2020 릴레이작가 초청전, ,6984000,0.6,-1236000,-15.0,15750000,1164,-206,-15.0,2625,4,8,20200920,인디애니페스트2020 릴레이작가 초청전,Invitation from Relay Animation Artists,,,2020,,기타,옴니버스,,,,애니메이션,기타,,,,
9,9,-3,OLD,20199883,오케이 마담,2020-08-12,5942500,0.5,-2986000,-33.4,10978805500,1135,-516,-31.3,1228551,23,26,20200920,오케이 마담,OK! MADAM,,100,2019,20200812,개봉,장편,,,,코미디|액션,한국,이철하,엄정화|박성웅|이상윤|배정남|이선빈,올픽처스 주식회사|(주)사나이픽처스,메가박스중앙(주) 플러스엠 엔터테인먼트
10,10,-1,OLD,20205284,매지컬: 공주를 웃겨라,2020-09-17,8966360,0.8,-835120,-8.5,24959300,1109,-105,-8.6,3108,220,252,20200920,매지컬: 공주를 웃겨라,,,81,2020,20200917,개봉,장편,,,,애니메이션,한국,정윤철,박지윤|남도형|장광|박상훈|이봉준,애니투아트(주),(주)에이원엔터테인먼트
1,1,0,OLD,20201122,테넷,2020-08-26,139809010,42.7,-284211300,-67.0,14295742160,15647,-28919,-64.9,1552016,989,2446,20200921,테넷,Tenet,,149,2020,20200826,개봉,장편,,,,액션|SF,미국,크리스토퍼 놀란,존 데이비드 워싱턴|로버트 패틴슨|엘리자베스 데비키|애론 테일러 존슨|마이클 케인,,워너브러더스 코리아(주)
2,2,0,OLD,20193822,뮬란,2020-09-17,96974850,29.6,-285424640,-74.6,1444385300,11873,-30575,-72.0,163906,1237,3478,20200921,뮬란,Mulan,,115,2019,20200917,개봉,장편,,,,어드벤처|드라마|가족,미국,니키 카로,유역비|이연걸|공리|견자단|제이슨 스콧 리,,월트디즈니컴퍼니코리아 유한책임회사
3,3,0,OLD,20193666,오! 문희,2020-09-02,29093230,8.9,-73531780,-71.7,2338524180,4180,-7447,-64.0,289102,484,1035,20200921,오! 문희,Oh! My Gran,,109,2020,20200902,개봉,장편,,,,코미디|드라마,한국,정세교,나문희|이희준|김예은|최원영|박지영,(주)빅스톤픽쳐스,CGV아트하우스
4,4,0,OLD,20201687,기기괴괴 성형수,2020-09-09,15794400,4.8,-35431500,-69.2,676390800,1873,-3610,-65.8,75805,188,484,20200921,기기괴괴 성형수,Beauty Water,,85,2020,20200909,개봉,장편,,,,공포(호러)|스릴러,한국,조경훈,문남숙|장민혁|조현정|김보영|최승훈,(주)에스에스애니멘트 |(주)스튜디오 애니멀,(주)트리플픽쳐스
5,5,0,NEW,20178401,검객,2020-09-23,4851000,1.5,4851000,100.0,6615000,539,539,100.0,735,11,11,20200921,검객,The Swordsman,,100,2020,20200923,개봉,장편,,,,액션,한국,최재훈,장혁|김현수|조 타슬림|정만식|이나경,오퍼스픽쳐스(유),(주)키위미디어그룹|오퍼스픽쳐스(유)|(주)씨네필운
6,6,6,OLD,20205001,도망친 여자,2020-09-17,4274460,1.3,-4302420,-50.2,39720310,538,-425,-44.1,4622,123,167,20200921,도망친 여자,The Woman Who Ran,,77,2019,20200917,개봉,장편,,,,드라마,한국,홍상수,김민희|서영화|송선미|김새벽|권해효,(주)영화제작전원사 ,(주)영화제작전원사 |(주)콘텐츠판다
7,7,0,OLD,20197922,다만 악에서 구하소서,2020-08-05,4070780,1.2,-6608900,-61.9,38557685040,505,-713,-58.5,4350998,110,144,20200921,다만 악에서 구하소서,DELIVER US FROM EVIL,,107,2019,20200805,개봉,장편,,,,범죄|액션,한국,홍원찬,황정민|이정재|박정민|박소이|최희서,(주)하이브미디어코프,(주)씨제이이엔엠
8,8,3,OLD,20202103,비독: 파리의 황제,2020-09-17,3604800,1.1,-5640650,-61.0,35711740,471,-560,-54.3,4140,157,198,20200921,비독: 파리의 황제,The Emperor of Paris,L'EMPEREUR DE PARIS,120,2018,20200917,개봉,장편,,,,액션|범죄|드라마,프랑스,장-프랑소와 리셰,뱅상 카셀|올가 쿠릴렌코|오거스트 딜|드니 라방,,(주)영화특별시에스엠씨|주식회사 더쿱
9,9,4,OLD,20202204,더 렌탈 : 소리없는 감시자,2020-09-16,3210500,1.0,-5043400,-61.1,55865780,394,-485,-55.2,6952,123,157,20200921,더 렌탈 : 소리없는 감시자,The Rental,,88,2020,20200916,개봉,장편,,,,공포(호러)|스릴러,미국,데이브 프랑코,댄 스티븐스|알리슨 브리|셰일라 밴드,,(주)제이앤씨미디어그룹
