rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm_box,openDt_box,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,movieNm_detail,movieNmEn,movieNmOg,showTm,prdtYear,openDt_detail,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
7,7,-1,OLD,20183867,알라딘,2019-05-23,310934120,2.4,116729600,60.1,105720403269,34174,12836,60.2,12410392,341,706,20190810,알라딘,Aladdin,,127,2018,20190523,개봉,장편,,,,어드벤처|가족|판타지,미국,가이 리치,메나 마수드|윌 스미스|나오미 스콧,,월트디즈니컴퍼니코리아 유한책임회사
8,8,0,OLD,20175771,라이온 킹,2019-07-17,243369330,1.9,116179590,91.3,40835595980,28406,13353,88.7,4659110,432,652,20190810,라이온 킹,The Lion King,,118,2018,20190717,개봉,장편,,,,어드벤처|드라마|가족,미국,존 파브로,도날드 글로버|비욘세 놀즈|제임스 얼 존스|치웨텔 에지오포|세스 로건,,월트디즈니컴퍼니코리아 유한책임회사
9,9,0,OLD,20198323,레드슈즈,2019-07-25,190509100,1.5,86673100,83.5,4977926810,23359,10459,81.1,640866,337,482,20190810,레드슈즈,Red Shoes,,92,2019,20190725,개봉,장편,,,,애니메이션|코미디|판타지|어드벤처|멜로/로맨스,한국,홍성호,클로이 모레츠|샘 클라플린|지나 거손|패트릭 워버튼|짐 래쉬,(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW)
10,10,0,OLD,20190741,김복동,2019-08-08,63357380,0.5,19623990,44.9,192066850,7148,2260,46.2,22527,342,478,20190810,김복동,My Name Is KIM Bok-dong,,101,2019,20190808,개봉,장편,,,,다큐멘터리,한국,송원근,한지민,한국탐사저널리즘센터,(주)엣나인필름
1,1,1,OLD,20184462,봉오동 전투,2019-08-07,4760704740,40.6,-257033067,-5.1,17428920613,539026,-27498,-4.9,2032319,1476,6378,20190811,봉오동 전투,The Battle: Roar to Victory,,134,2019,20190807,개봉,장편,,,,사극|액션|드라마,한국,원신연,유해진|류준열|조우진|키타무라 카즈키|이케우치 히로유키,(주)빅스톤픽쳐스|(주)더블유픽처스|(주)쇼박스,(주)쇼박스
2,2,-1,OLD,20184621,엑시트,2019-07-31,4706292650,40.2,-578392703,-10.9,48603792902,532463,-64165,-10.8,5778527,1442,7423,20190811,엑시트,EXIT,,103,2019,20190731,개봉,장편,,,,코미디|액션,한국,이상근,조정석|임윤아|설도희|최재영|고두심,(주)외유내강|(주)필름케이,(주)씨제이이엔엠
3,3,0,OLD,20183844,마이펫의 이중생활 2,2019-07-31,406465290,3.5,6211820,1.6,7136733885,49534,180,0.4,933513,611,1034,20190811,마이펫의 이중생활 2,The Secret Life of Pets 2,,85,2019,20190731,개봉,장편,,,,애니메이션|어드벤처|코미디,미국,크리스 리노드,패튼 오스왈트|케빈 하트|에릭 스톤스트릿|제니 슬레이트|티파니 해디쉬,,유니버설픽쳐스인터내셔널 코리아(유)
4,4,1,OLD,20180442,사자,2019-07-31,333960890,2.8,-89105260,-21.1,12245981605,36608,-9700,-20.9,1527726,572,1301,20190811,사자,The Divine Fury,,128,2018,20190731,개봉,장편,,,,미스터리|액션|판타지|공포(호러),한국,김주환,박서준|안성기|우도환|김근영|손우진,(주)키이스트,롯데컬처웍스(주)롯데엔터테인먼트
5,5,-1,OLD,20193275,브링 더 소울 : 더 무비,2019-08-07,331711330,2.8,-105985880,-24.2,2368846100,35224,-11320,-24.3,274064,487,1024,20190811,브링 더 소울 : 더 무비,BRING THE SOUL : THE MOVIE,,101,2020,20190807,개봉,장편,,,,기타,한국,박준수,김남준|김석진|민윤기|정호석|박지민,빅히트 엔터테인먼트|(주)캠프엔터테인먼트,씨지브이 아이스콘|월트디즈니컴퍼니코리아 유한책임회사
6,6,0,OLD,20191741,앵그리 버드 2: 독수리 왕국의 침공,2019-08-07,272387920,2.3,-977487,-0.4,1040376333,33807,-564,-1.6,134529,503,841,20190811,앵그리 버드 2: 독수리 왕국의 침공,The Angry Birds Movie 2,,96,2019,20190807,개봉,장편,,,,애니메이션|액션,미국,서럽 밴 오먼,제이슨 서디키스|조시 게드|대니 맥브라이드|피터 딘클리지|아콰피나,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
7,7,0,OLD,20183867,알라딘,2019-05-23,270465820,2.3,-40468300,-13.0,105990869089,29890,-4284,-12.5,12440282,341,700,20190811,알라딘,Aladdin,,127,2018,20190523,개봉,장편,,,,어드벤처|가족|판타지,미국,가이 리치,메나 마수드|윌 스미스|나오미 스콧,,월트디즈니컴퍼니코리아 유한책임회사
8,8,0,OLD,20175771,라이온 킹,2019-07-17,215888160,1.8,-27481170,-11.3,41051484140,25137,-3269,-11.5,4684247,412,613,20190811,라이온 킹,The Lion King,,118,2018,20190717,개봉,장편,,,,어드벤처|드라마|가족,미국,존 파브로,도날드 글로버|비욘세 놀즈|제임스 얼 존스|치웨텔 에지오포|세스 로건,,월트디즈니컴퍼니코리아 유한책임회사
9,9,0,OLD,20198323,레드슈즈,2019-07-25,188299000,1.6,-2210100,-1.2,5166225810,22900,-459,-2.0,663766,349,492,20190811,레드슈즈,Red Shoes,,92,2019,20190725,개봉,장편,,,,애니메이션|코미디|판타지|어드벤처|멜로/로맨스,한국,홍성호,클로이 모레츠|샘 클라플린|지나 거손|패트릭 워버튼|짐 래쉬,(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW)
10,10,0,OLD,20190741,김복동,2019-08-08,60373490,0.5,-2983890,-4.7,252440340,6870,-278,-3.9,29397,332,467,20190811,김복동,My Name Is KIM Bok-dong,,101,2019,20190808,개봉,장편,,,,다큐멘터리,한국,송원근,한지민,한국탐사저널리즘센터,(주)엣나인필름
1,1,0,OLD,20184462,봉오동 전투,2019-08-07,1778015680,40.5,-2982689060,-62.7,19206936293,219475,-319551,-59.3,2251794,1383,6201,20190812,봉오동 전투,The Battle: Roar to Victory,,134,2019,20190807,개봉,장편,,,,사극|액션|드라마,한국,원신연,유해진|류준열|조우진|키타무라 카즈키|이케우치 히로유키,(주)빅스톤픽쳐스|(주)더블유픽처스|(주)쇼박스,(주)쇼박스
2,2,0,OLD,20184621,엑시트,2019-07-31,1718375900,39.2,-2987916750,-63.5,50322168802,211799,-320664,-60.2,5990326,1336,7073,20190812,엑시트,EXIT,,103,2019,20190731,개봉,장편,,,,코미디|액션,한국,이상근,조정석|임윤아|설도희|최재영|고두심,(주)외유내강|(주)필름케이,(주)씨제이이엔엠
3,3,0,OLD,20183844,마이펫의 이중생활 2,2019-07-31,133130920,3.0,-273334370,-67.2,7269864805,18134,-31400,-63.4,951647,555,942,20190812,마이펫의 이중생활 2,The Secret Life of Pets 2,,85,2019,20190731,개봉,장편,,,,애니메이션|어드벤처|코미디,미국,크리스 리노드,패튼 오스왈트|케빈 하트|에릭 스톤스트릿|제니 슬레이트|티파니 해디쉬,,유니버설픽쳐스인터내셔널 코리아(유)
4,4,0,OLD,20180442,사자,2019-07-31,138319770,3.2,-195641120,-58.6,12384301375,16935,-19673,-53.7,1544661,545,1337,20190812,사자,The Divine Fury,,128,2018,20190731,개봉,장편,,,,미스터리|액션|판타지|공포(호러),한국,김주환,박서준|안성기|우도환|김근영|손우진,(주)키이스트,롯데컬처웍스(주)롯데엔터테인먼트
5,5,2,OLD,20183867,알라딘,2019-05-23,116123710,2.6,-154342110,-57.1,106106992799,14445,-15445,-51.7,12454727,340,726,20190812,알라딘,Aladdin,,127,2018,20190523,개봉,장편,,,,어드벤처|가족|판타지,미국,가이 리치,메나 마수드|윌 스미스|나오미 스콧,,월트디즈니컴퍼니코리아 유한책임회사
6,6,-1,OLD,20193275,브링 더 소울 : 더 무비,2019-08-07,98320610,2.2,-233390720,-70.4,2467166710,11942,-23282,-66.1,286006,460,849,20190812,브링 더 소울 : 더 무비,BRING THE SOUL : THE MOVIE,,101,2020,20190807,개봉,장편,,,,기타,한국,박준수,김남준|김석진|민윤기|정호석|박지민,빅히트 엔터테인먼트|(주)캠프엔터테인먼트,씨지브이 아이스콘|월트디즈니컴퍼니코리아 유한책임회사
7,7,1,OLD,20175771,라이온 킹,2019-07-17,77813240,1.8,-138074920,-64.0,41129297380,10281,-14856,-59.1,4694528,384,624,20190812,라이온 킹,The Lion King,,118,2018,20190717,개봉,장편,,,,어드벤처|드라마|가족,미국,존 파브로,도날드 글로버|비욘세 놀즈|제임스 얼 존스|치웨텔 에지오포|세스 로건,,월트디즈니컴퍼니코리아 유한책임회사
8,8,-2,OLD,20191741,앵그리 버드 2: 독수리 왕국의 침공,2019-08-07,63411260,1.4,-208976660,-76.7,1103787593,8981,-24826,-73.4,143510,439,693,20190812,앵그리 버드 2: 독수리 왕국의 침공,The Angry Birds Movie 2,,96,2019,20190807,개봉,장편,,,,애니메이션|액션,미국,서럽 밴 오먼,제이슨 서디키스|조시 게드|대니 맥브라이드|피터 딘클리지|아콰피나,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
9,9,0,OLD,20198323,레드슈즈,2019-07-25,66033650,1.5,-122265350,-64.9,5232259460,8903,-13997,-61.1,672669,329,465,20190812,레드슈즈,Red Shoes,,92,2019,20190725,개봉,장편,,,,애니메이션|코미디|판타지|어드벤처|멜로/로맨스,한국,홍성호,클로이 모레츠|샘 클라플린|지나 거손|패트릭 워버튼|짐 래쉬,(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW)
10,10,0,NEW,20184543,변신,2019-08-21,65367000,1.5,65367000,100.0,69363000,7392,7392,100.0,7836,30,33,20190812,변신,Metamorphosis,,112,2019,20190821,개봉,장편,,,,공포(호러)|스릴러,한국,김홍선,배성우|성동일|장영남|김혜준|조이현,(주)다나크리에이티브,(주)에이스메이커무비웍스
1,1,0,OLD,20184462,봉오동 전투,2019-08-07,1625462500,38.3,-152553180,-8.6,20832398793,202972,-16503,-7.5,2454766,1430,6251,20190813,봉오동 전투,The Battle: Roar to Victory,,134,2019,20190807,개봉,장편,,,,사극|액션|드라마,한국,원신연,유해진|류준열|조우진|키타무라 카즈키|이케우치 히로유키,(주)빅스톤픽쳐스|(주)더블유픽처스|(주)쇼박스,(주)쇼박스
2,2,0,OLD,20184621,엑시트,2019-07-31,1578158420,37.2,-140217480,-8.2,51900327222,196572,-15227,-7.2,6186898,1365,7063,20190813,엑시트,EXIT,,103,2019,20190731,개봉,장편,,,,코미디|액션,한국,이상근,조정석|임윤아|설도희|최재영|고두심,(주)외유내강|(주)필름케이,(주)씨제이이엔엠
3,3,0,OLD,20183844,마이펫의 이중생활 2,2019-07-31,151466400,3.6,18335480,13.8,7421331205,21107,2973,16.4,972754,574,944,20190813,마이펫의 이중생활 2,The Secret Life of Pets 2,,85,2019,20190731,개봉,장편,,,,애니메이션|어드벤처|코미디,미국,크리스 리노드,패튼 오스왈트|케빈 하트|에릭 스톤스트릿|제니 슬레이트|티파니 해디쉬,,유니버설픽쳐스인터내셔널 코리아(유)
4,4,1,OLD,20183867,알라딘,2019-05-23,132032820,3.1,15909110,13.7,106239025619,16543,2098,14.5,12471270,342,726,20190813,알라딘,Aladdin,,127,2018,20190523,개봉,장편,,,,어드벤처|가족|판타지,미국,가이 리치,메나 마수드|윌 스미스|나오미 스콧,,월트디즈니컴퍼니코리아 유한책임회사
5,5,-1,OLD,20180442,사자,2019-07-31,132159270,3.1,-6160500,-4.5,12516460645,16481,-454,-2.7,1561142,561,1321,20190813,사자,The Divine Fury,,128,2018,20190731,개봉,장편,,,,미스터리|액션|판타지|공포(호러),한국,김주환,박서준|안성기|우도환|김근영|손우진,(주)키이스트,롯데컬처웍스(주)롯데엔터테인먼트
6,6,0,OLD,20193275,브링 더 소울 : 더 무비,2019-08-07,107258290,2.5,8937680,9.1,2574425000,13088,1146,9.6,299094,456,831,20190813,브링 더 소울 : 더 무비,BRING THE SOUL : THE MOVIE,,101,2020,20190807,개봉,장편,,,,기타,한국,박준수,김남준|김석진|민윤기|정호석|박지민,빅히트 엔터테인먼트|(주)캠프엔터테인먼트,씨지브이 아이스콘|월트디즈니컴퍼니코리아 유한책임회사
7,7,0,OLD,20175771,라이온 킹,2019-07-17,82597380,1.9,4784140,6.1,41211894760,10961,680,6.6,4705489,397,634,20190813,라이온 킹,The Lion King,,118,2018,20190717,개봉,장편,,,,어드벤처|드라마|가족,미국,존 파브로,도날드 글로버|비욘세 놀즈|제임스 얼 존스|치웨텔 에지오포|세스 로건,,월트디즈니컴퍼니코리아 유한책임회사
8,8,0,OLD,20191741,앵그리 버드 2: 독수리 왕국의 침공,2019-08-07,75418280,1.8,12007020,18.9,1179205873,10857,1876,20.9,154367,458,721,20190813,앵그리 버드 2: 독수리 왕국의 침공,The Angry Birds Movie 2,,96,2019,20190807,개봉,장편,,,,애니메이션|액션,미국,서럽 밴 오먼,제이슨 서디키스|조시 게드|대니 맥브라이드|피터 딘클리지|아콰피나,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
9,9,0,OLD,20198323,레드슈즈,2019-07-25,77033980,1.8,11000330,16.7,5309293440,10565,1662,18.7,683234,319,462,20190813,레드슈즈,Red Shoes,,92,2019,20190725,개봉,장편,,,,애니메이션|코미디|판타지|어드벤처|멜로/로맨스,한국,홍성호,클로이 모레츠|샘 클라플린|지나 거손|패트릭 워버튼|짐 래쉬,(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW)
10,10,0,OLD,20184543,변신,2019-08-21,56892000,1.3,-8475000,-13.0,126255000,6453,-939,-12.7,14289,32,32,20190813,변신,Metamorphosis,,112,2019,20190821,개봉,장편,,,,공포(호러)|스릴러,한국,김홍선,배성우|성동일|장영남|김혜준|조이현,(주)다나크리에이티브,(주)에이스메이커무비웍스
1,1,16,OLD,20196850,분노의 질주: 홉스&쇼,2019-08-14,2935002750,42.5,2921368250,21426.3,2951437250,351556,350473,32361.3,352839,1270,6066,20190814,분노의 질주: 홉스&쇼,Fast & Furious Presents: Hobbs & Shaw,,135,2019,20190814,개봉,장편,,,,액션,미국,데이빗 레이치,드웨인 존슨|제이슨 스타뎀|이드리스 엘바|바네사 커비,,유니버설픽쳐스인터내셔널 코리아(유)
2,2,-1,OLD,20184462,봉오동 전투,2019-08-07,1719469180,24.9,94006680,5.8,22551867973,214383,11411,5.6,2669149,1192,5005,20190814,봉오동 전투,The Battle: Roar to Victory,,134,2019,20190807,개봉,장편,,,,사극|액션|드라마,한국,원신연,유해진|류준열|조우진|키타무라 카즈키|이케우치 히로유키,(주)빅스톤픽쳐스|(주)더블유픽처스|(주)쇼박스,(주)쇼박스
3,3,-1,OLD,20184621,엑시트,2019-07-31,1623147660,23.5,44989240,2.9,53523474882,201354,4782,2.4,6388252,1070,5071,20190814,엑시트,EXIT,,103,2019,20190731,개봉,장편,,,,코미디|액션,한국,이상근,조정석|임윤아|설도희|최재영|고두심,(주)외유내강|(주)필름케이,(주)씨제이이엔엠
4,4,34,OLD,20182241,"안녕, 티라노: 영원히, 함께",2019-08-14,103907360,1.5,102413360,6855.0,178342360,14350,14184,8544.6,23381,483,782,20190814,"안녕, 티라노: 영원히, 함께","My TYRANO: Together, Forever",,97,2019,20190814,개봉,장편,,,,애니메이션,한국,시즈노 코분,시영준|정혜원|이세은|이현|김지혜,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW)
5,5,-2,OLD,20183844,마이펫의 이중생활 2,2019-07-31,84478170,1.2,-66988230,-44.2,7505809375,12056,-9051,-42.9,984810,327,432,20190814,마이펫의 이중생활 2,The Secret Life of Pets 2,,85,2019,20190731,개봉,장편,,,,애니메이션|어드벤처|코미디,미국,크리스 리노드,패튼 오스왈트|케빈 하트|에릭 스톤스트릿|제니 슬레이트|티파니 해디쉬,,유니버설픽쳐스인터내셔널 코리아(유)
6,6,0,NEW,20187959,원더랜드,2019-08-14,63374970,0.9,63374970,100.0,94390970,9373,9373,100.0,13133,380,506,20190814,원더랜드,Wonder Park,,85,2019,20190814,개봉,장편,,,,애니메이션|코미디|어드벤처|가족,미국,딜런 브라운,소연|장민혁|안장혁|안소이|변영희,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트
7,7,-2,OLD,20180442,사자,2019-07-31,51203820,0.7,-80955450,-61.3,12567664465,6504,-9977,-60.5,1567646,221,459,20190814,사자,The Divine Fury,,128,2018,20190731,개봉,장편,,,,미스터리|액션|판타지|공포(호러),한국,김주환,박서준|안성기|우도환|김근영|손우진,(주)키이스트,롯데컬처웍스(주)롯데엔터테인먼트
8,8,3,OLD,20190741,김복동,2019-08-08,47530120,0.7,11948600,33.6,365958900,5854,1219,26.3,43713,253,323,20190814,김복동,My Name Is KIM Bok-dong,,101,2019,20190808,개봉,장편,,,,다큐멘터리,한국,송원근,한지민,한국탐사저널리즘센터,(주)엣나인필름
9,9,0,OLD,20198323,레드슈즈,2019-07-25,37114200,0.5,-39919780,-51.8,5346407640,5062,-5503,-52.1,688296,153,188,20190814,레드슈즈,Red Shoes,,92,2019,20190725,개봉,장편,,,,애니메이션|코미디|판타지|어드벤처|멜로/로맨스,한국,홍성호,클로이 모레츠|샘 클라플린|지나 거손|패트릭 워버튼|짐 래쉬,(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW)
10,10,-6,OLD,20183867,알라딘,2019-05-23,39114030,0.6,-92918790,-70.4,106278139649,4929,-11614,-70.2,12476199,140,196,20190814,알라딘,Aladdin,,127,2018,20190523,개봉,장편,,,,어드벤처|가족|판타지,미국,가이 리치,메나 마수드|윌 스미스|나오미 스콧,,월트디즈니컴퍼니코리아 유한책임회사
1,1,0,OLD,20196850,분노의 질주: 홉스&쇼,2019-08-14,4978289610,34.1,2043286860,69.6,7929726860,551246,199690,56.8,904085,1291,5898,20190815,분노의 질주: 홉스&쇼,Fast & Furious Presents: Hobbs & Shaw,,135,2019,20190814,개봉,장편,,,,액션,미국,데이빗 레이치,드웨인 존슨|제이슨 스타뎀|이드리스 엘바|바네사 커비,,유니버설픽쳐스인터내셔널 코리아(유)
2,2,0,OLD,20184462,봉오동 전투,2019-08-07,4160776610,28.5,2441307430,142.0,26712644583,479598,265215,123.7,3148747,1234,5213,20190815,봉오동 전투,The Battle: Roar to Victory,,134,2019,20190807,개봉,장편,,,,사극|액션|드라마,한국,원신연,유해진|류준열|조우진|키타무라 카즈키|이케우치 히로유키,(주)빅스톤픽쳐스|(주)더블유픽처스|(주)쇼박스,(주)쇼박스
3,3,0,OLD,20184621,엑시트,2019-07-31,3401752680,23.3,1778605020,109.6,56925227562,392871,191517,95.1,6781123,1029,4772,20190815,엑시트,EXIT,,103,2019,20190731,개봉,장편,,,,코미디|액션,한국,이상근,조정석|임윤아|설도희|최재영|고두심,(주)외유내강|(주)필름케이,(주)씨제이이엔엠
4,4,0,OLD,20182241,"안녕, 티라노: 영원히, 함께",2019-08-14,453103620,3.1,349196260,336.1,631445980,56596,42246,294.4,79977,512,857,20190815,"안녕, 티라노: 영원히, 함께","My TYRANO: Together, Forever",,97,2019,20190814,개봉,장편,,,,애니메이션,한국,시즈노 코분,시영준|정혜원|이세은|이현|김지혜,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW)
5,5,60,OLD,20188404,암전,2019-08-15,271626360,1.9,271346860,97083.0,311941860,30566,30531,87231.4,35004,423,844,20190815,암전,Warning: Do Not Play,,85,2018,20190815,개봉,장편,,,,미스터리|공포(호러),한국,김진원,서예지|진선규|서석규|서정우|진선규,주식회사 토닉프로젝트|(주)아이뉴컴퍼니,TCO(주)더콘텐츠온
6,6,-1,OLD,20183844,마이펫의 이중생활 2,2019-07-31,234595360,1.6,150117190,177.7,7740404735,29681,17625,146.2,1014491,312,399,20190815,마이펫의 이중생활 2,The Secret Life of Pets 2,,85,2019,20190731,개봉,장편,,,,애니메이션|어드벤처|코미디,미국,크리스 리노드,패튼 오스왈트|케빈 하트|에릭 스톤스트릿|제니 슬레이트|티파니 해디쉬,,유니버설픽쳐스인터내셔널 코리아(유)
7,7,-1,OLD,20187959,원더랜드,2019-08-14,226088880,1.6,162713910,256.7,320479850,28544,19171,204.5,41677,404,537,20190815,원더랜드,Wonder Park,,85,2019,20190814,개봉,장편,,,,애니메이션|코미디|어드벤처|가족,미국,딜런 브라운,소연|장민혁|안장혁|안소이|변영희,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트
8,8,1,OLD,20198323,레드슈즈,2019-07-25,125757830,0.9,88643630,238.8,5472165470,15574,10512,207.7,703870,164,196,20190815,레드슈즈,Red Shoes,,92,2019,20190725,개봉,장편,,,,애니메이션|코미디|판타지|어드벤처|멜로/로맨스,한국,홍성호,클로이 모레츠|샘 클라플린|지나 거손|패트릭 워버튼|짐 래쉬,(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW)
9,9,-2,OLD,20180442,사자,2019-07-31,112294200,0.8,61090380,119.3,12679958665,13726,7222,111.0,1581372,226,397,20190815,사자,The Divine Fury,,128,2018,20190731,개봉,장편,,,,미스터리|액션|판타지|공포(호러),한국,김주환,박서준|안성기|우도환|김근영|손우진,(주)키이스트,롯데컬처웍스(주)롯데엔터테인먼트
10,10,3,OLD,20191741,앵그리 버드 2: 독수리 왕국의 침공,2019-08-07,79458320,0.5,55753280,235.2,1282369233,10323,6772,190.7,168241,137,155,20190815,앵그리 버드 2: 독수리 왕국의 침공,The Angry Birds Movie 2,,96,2019,20190807,개봉,장편,,,,애니메이션|액션,미국,서럽 밴 오먼,제이슨 서디키스|조시 게드|대니 맥브라이드|피터 딘클리지|아콰피나,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
1,1,0,OLD,20196850,분노의 질주: 홉스&쇼,2019-08-14,2572150167,37.4,-2406139443,-48.3,10501877027,281168,-270078,-49.0,1185253,1288,6034,20190816,분노의 질주: 홉스&쇼,Fast & Furious Presents: Hobbs & Shaw,,135,2019,20190814,개봉,장편,,,,액션,미국,데이빗 레이치,드웨인 존슨|제이슨 스타뎀|이드리스 엘바|바네사 커비,,유니버설픽쳐스인터내셔널 코리아(유)
2,2,0,OLD,20184462,봉오동 전투,2019-08-07,1778793687,25.9,-2381982923,-57.2,28491438270,203671,-275927,-57.5,3352418,1163,4946,20190816,봉오동 전투,The Battle: Roar to Victory,,134,2019,20190807,개봉,장편,,,,사극|액션|드라마,한국,원신연,유해진|류준열|조우진|키타무라 카즈키|이케우치 히로유키,(주)빅스톤픽쳐스|(주)더블유픽처스|(주)쇼박스,(주)쇼박스
3,3,0,OLD,20184621,엑시트,2019-07-31,1752178510,25.5,-1649574170,-48.5,58677406072,199787,-193084,-49.1,6980910,1010,4825,20190816,엑시트,EXIT,,103,2019,20190731,개봉,장편,,,,코미디|액션,한국,이상근,조정석|임윤아|설도희|최재영|고두심,(주)외유내강|(주)필름케이,(주)씨제이이엔엠
4,4,1,OLD,20188404,암전,2019-08-15,143775913,2.1,-127850447,-47.1,455717773,15992,-14574,-47.7,50996,421,838,20190816,암전,Warning: Do Not Play,,85,2018,20190815,개봉,장편,,,,미스터리|공포(호러),한국,김진원,서예지|진선규|서석규|서정우|진선규,주식회사 토닉프로젝트|(주)아이뉴컴퍼니,TCO(주)더콘텐츠온
5,5,1,OLD,20183844,마이펫의 이중생활 2,2019-07-31,95473460,1.4,-139121900,-59.3,7835878195,12546,-17135,-57.7,1027037,325,400,20190816,마이펫의 이중생활 2,The Secret Life of Pets 2,,85,2019,20190731,개봉,장편,,,,애니메이션|어드벤처|코미디,미국,크리스 리노드,패튼 오스왈트|케빈 하트|에릭 스톤스트릿|제니 슬레이트|티파니 해디쉬,,유니버설픽쳐스인터내셔널 코리아(유)
6,6,-2,OLD,20182241,"안녕, 티라노: 영원히, 함께",2019-08-14,92805260,1.4,-360298360,-79.5,724251240,12042,-44554,-78.7,92019,473,737,20190816,"안녕, 티라노: 영원히, 함께","My TYRANO: Together, Forever",,97,2019,20190814,개봉,장편,,,,애니메이션,한국,시즈노 코분,시영준|정혜원|이세은|이현|김지혜,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW)
7,7,0,OLD,20187959,원더랜드,2019-08-14,67572710,1.0,-158516170,-70.1,388052560,9156,-19388,-67.9,50833,384,487,20190816,원더랜드,Wonder Park,,85,2019,20190814,개봉,장편,,,,애니메이션|코미디|어드벤처|가족,미국,딜런 브라운,소연|장민혁|안장혁|안소이|변영희,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트
8,8,1,OLD,20180442,사자,2019-07-31,60897200,0.9,-51397000,-45.8,12740855865,8164,-5562,-40.5,1589536,213,394,20190816,사자,The Divine Fury,,128,2018,20190731,개봉,장편,,,,미스터리|액션|판타지|공포(호러),한국,김주환,박서준|안성기|우도환|김근영|손우진,(주)키이스트,롯데컬처웍스(주)롯데엔터테인먼트
9,9,-1,OLD,20198323,레드슈즈,2019-07-25,47601150,0.7,-78156680,-62.1,5519766620,5938,-9636,-61.9,709808,163,200,20190816,레드슈즈,Red Shoes,,92,2019,20190725,개봉,장편,,,,애니메이션|코미디|판타지|어드벤처|멜로/로맨스,한국,홍성호,클로이 모레츠|샘 클라플린|지나 거손|패트릭 워버튼|짐 래쉬,(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW)
10,10,2,OLD,20183867,알라딘,2019-05-23,35621690,0.5,-41227620,-53.6,106390610649,4041,-4848,-54.5,12489129,109,138,20190816,알라딘,Aladdin,,127,2018,20190523,개봉,장편,,,,어드벤처|가족|판타지,미국,가이 리치,메나 마수드|윌 스미스|나오미 스콧,,월트디즈니컴퍼니코리아 유한책임회사
1,1,0,OLD,20196850,분노의 질주: 홉스&쇼,2019-08-14,4117876568,37.9,1545726401,60.1,14619753595,449067,167899,59.7,1634320,1307,6185,20190817,분노의 질주: 홉스&쇼,Fast & Furious Presents: Hobbs & Shaw,,135,2019,20190814,개봉,장편,,,,액션,미국,데이빗 레이치,드웨인 존슨|제이슨 스타뎀|이드리스 엘바|바네사 커비,,유니버설픽쳐스인터내셔널 코리아(유)
2,2,0,OLD,20184462,봉오동 전투,2019-08-07,2809144588,25.9,1030350901,57.9,31300582858,318038,114367,56.2,3670456,1183,5053,20190817,봉오동 전투,The Battle: Roar to Victory,,134,2019,20190807,개봉,장편,,,,사극|액션|드라마,한국,원신연,유해진|류준열|조우진|키타무라 카즈키|이케우치 히로유키,(주)빅스톤픽쳐스|(주)더블유픽처스|(주)쇼박스,(주)쇼박스
3,3,0,OLD,20184621,엑시트,2019-07-31,2715811280,25.0,963632770,55.0,61393217352,308601,108814,54.5,7289511,1032,4899,20190817,엑시트,EXIT,,103,2019,20190731,개봉,장편,,,,코미디|액션,한국,이상근,조정석|임윤아|설도희|최재영|고두심,(주)외유내강|(주)필름케이,(주)씨제이이엔엠
4,4,2,OLD,20182241,"안녕, 티라노: 영원히, 함께",2019-08-14,221755420,2.0,128950160,138.9,946006660,27387,15345,127.4,119406,511,811,20190817,"안녕, 티라노: 영원히, 함께","My TYRANO: Together, Forever",,97,2019,20190814,개봉,장편,,,,애니메이션,한국,시즈노 코분,시영준|정혜원|이세은|이현|김지혜,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW)
5,5,-1,OLD,20188404,암전,2019-08-15,169675172,1.6,25899259,18.0,625392945,19150,3158,19.7,70146,413,744,20190817,암전,Warning: Do Not Play,,85,2018,20190815,개봉,장편,,,,미스터리|공포(호러),한국,김진원,서예지|진선규|서석규|서정우|진선규,주식회사 토닉프로젝트|(주)아이뉴컴퍼니,TCO(주)더콘텐츠온
