movieCd,movieNm_box,openDt_box,movieNm_detail,movieNmEn,movieNmOg,genres,nations,directors,actors,productionCompanies,distributors
20211540,듣보인간의 생존신고,2023-09-06,듣보인간의 생존신고,Notes from the Unknown,,다큐멘터리,한국,김아현|권하정,권하정|김아현,(주)에이치더블유,(주)시네마달
20224667,잠,2023-09-06,잠,Sleep,,미스터리,한국,유재선,정유미|이선균|김금순|이동찬|김국희,(주)루이스 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트
20234044,베니스 유령 살인사건,2023-09-13,베니스 유령 살인사건,A haunting in Venice,,범죄|미스터리|스릴러|공포(호러),미국,케네스 브래너,케네스 브래너|양자경|제이미 도넌|티나 페이|주드 힐,,월트디즈니컴퍼니코리아 유한책임회사
20233743,아이유 콘서트 : 더 골든 아워,2023-09-13,아이유 콘서트 : 더 골든 아워,IU CONCERT : The Golden Hour,,공연|다큐멘터리,한국,,이지은,,씨제이 씨지브이(CJ CGV)(주)
20225824,치악산,2023-09-13,치악산,Mount CHIAK,,공포(호러)|미스터리,한국,김선웅,윤균상|김예원|연제욱|이태환|배그린,(주)도호 엔터테인먼트,와이드 릴리즈(주)
20233643,닌자터틀: 뮤턴트 대소동,2023-09-14,닌자터틀: 뮤턴트 대소동,Teenage Mutant Ninja Turtles: Mutant Mayhem,,애니메이션,미국,,,,롯데컬처웍스(주)롯데엔터테인먼트
20228016,"여름을 향한 터널, 이별의 출구",2023-09-14,"여름을 향한 터널, 이별의 출구","The Tunnel to Summer, the Exit of Goodbyes",,애니메이션,일본,타구치 토모히사,코미야 아리사|코야마 리키야,,(주)미디어캐슬
20233411,그란 투리스모,2023-09-20,그란 투리스모,Gran Turismo,,액션,미국,,,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20234273,힙노틱,2023-09-20,힙노틱,Hypnotic,,SF|액션,미국,로버트 로드리게즈,벤 애플렉|앨리스 브라가|윌리엄 피츠너,,(주)레드아이스 엔터테인먼트|(주)제이앤씨미디어그룹
20233235,가문의 영광: 리턴즈,2023-09-21,가문의 영광: 리턴즈,Marrying the Mafia,,코미디,한국,정용기|정태원,윤현민|유라|김수미|탁재훈|정준하,(주)태원엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW)
2023C685,플로라 앤 썬,2023-09-22,플로라 앤 썬,Flora and Son,,드라마,미국,존 카니,이브 휴슨|잭 레이너|조셉 고든 레빗,,씨제이 씨지브이(CJ CGV)(주)
20197122,1947 보스톤,2023-09-27,1947 보스톤,Road to Boston,,드라마,한국,강제규,하정우|임시완|배성우|김상호|오희준,(주)비에이엔터테인먼트|(주)빅픽쳐,롯데컬처웍스(주)롯데엔터테인먼트|(주)콘텐츠지오|주식회사 에이투지엔터테인먼트
20223896,거미집,2023-09-27,거미집,COBWEB,,코미디|드라마,한국,김지운,송강호|임수정|오정세|전여빈|정수정,앤솔로지스튜디오(주),(주)바른손이앤에이
20234281,더 넌 2,2023-09-27,더 넌 2,The Nun II,,공포(호러),미국,마이클 차베즈,타이사 파미가|보니 아론스|조나스 블로켓|안나 팝플웰,,워너브러더스 코리아(주)
20227410,천박사 퇴마 연구소: 설경의 비밀,2023-09-27,천박사 퇴마 연구소: 설경의 비밀,Dr. Cheon And The Lost Talisman,,판타지|액션,한국,김성식,강동원|허준호|이솜|이동휘|김종수,(주)외유내강,(주)씨제이이엔엠
20234099,극장판 엉덩이 탐정: 미스터리 가면 ~최강의 대결,2023-09-28,극장판 엉덩이 탐정: 미스터리 가면 ~최강의 대결,Butt Detective the Movie SHIRIARTY,映画 おしりたんてい　シリアーティ,애니메이션,일본,,,,(주)넥스트엔터테인먼트월드(NEW)
20228819,30일,2023-10-03,30일,Love Reset,,코미디,한국,남대중,강하늘|정소민|조민수|김선영|황세인,(주)영화사울림,(주)마인드마크
20233763,드림쏭2,2023-10-03,드림쏭2,Rock Dog 2: Rock Around the Park,,애니메이션,미국,마크 밸도,,,주식회사 원더스튜디오
20233879,크리에이터,2023-10-03,크리에이터,The Creator,,SF|액션,미국,가렛 에드워즈,존 데이비드 워싱턴|젬마 찬,,월트디즈니컴퍼니코리아 유한책임회사
20234277,사나: 저주의 아이,2023-10-04,사나: 저주의 아이,Sana,ミンナのウタ,공포(호러),일본,시미즈 다카시,,,(주)바이포엠스튜디오
20234253,퍼피 구조대: 더 마이티 무비,2023-10-06,퍼피 구조대: 더 마이티 무비,PAW Patrol: The Mighty Movie,,애니메이션|어드벤처,미국,캘런 브런커,정선혜|박지윤|신용우|문남숙|엄상현,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트
20234104,나의 행복한 결혼,2023-10-11,나의 행복한 결혼,As Long As We Both Shall Live,わたしの幸せな結婚,판타지|멜로/로맨스,일본,츠카하라 아유코,메구로 렌|이마다 미오,,(주)디스테이션
20227626,화란,2023-10-11,화란,Hopeless,,드라마,한국,김창훈,홍사빈|송중기|김형서|정재광|유성주,(주)사나이픽처스,메가박스중앙(주) 플러스엠 엔터테인먼트
20212667,화사한 그녀,2023-10-11,화사한 그녀,MISS FORTUNE,,코미디,한국,이승준,엄정화|송새벽|방민아|손병호|김재화,(주)신영이엔씨|(주)제이앤씨미디어그룹,(주)제이앤씨미디어그룹|(주)스튜디오 산타클로스엔터테인먼트
20231634,괴담만찬,2023-10-18,괴담만찬,Tastes of Horror,,공포(호러),한국,채여준|임대웅|김용균|윤은경|안상훈,장승연|신은수|김호정|김태훈|조재윤,(주)스튜디오투유|(주)아이뉴컴퍼니,TCO(주)더콘텐츠온|(주)블루라벨픽쳐스|(주)대교 미디어콘텐츠사업본부
